state_norm,district,month,demo_age_5_17,demo_age_17_
bihar,supaul,March 2025,1661,29320
bihar,vaishali,March 2025,3660,39009
chandigarh,chandigarh,March 2025,1296,8949
chhattisgarh,balod,March 2025,827,10913
chhattisgarh,balodabazar bhatapara,March 2025,0,0
chhattisgarh,balrampur ramanujganj,March 2025,0,0
chhattisgarh,bastar,March 2025,878,10394
chhattisgarh,bemetara,March 2025,354,10548
chhattisgarh,bijapur,March 2025,294,3385
chhattisgarh,bilaspur,March 2025,1066,19431
chhattisgarh,dakshin bastar dantewada,March 2025,364,771
chhattisgarh,dhamtari,March 2025,382,10273
chhattisgarh,durg,March 2025,1512,10144
chhattisgarh,gariyaband,March 2025,122,5062
chhattisgarh,gaurela pendra marwahi,March 2025,79,773
chhattisgarh,janjgir champa,March 2025,1438,30658
chhattisgarh,jashpur,March 2025,1352,6992
chhattisgarh,kabeerdham,March 2025,215,3840
chhattisgarh,khairagarh chhuikhadan gandai,March 2025,0,0
chhattisgarh,kondagaon,March 2025,114,1192
chhattisgarh,korba,March 2025,223,4727
chhattisgarh,korea,March 2025,0,0
chhattisgarh,mahasamund,March 2025,309,3131
chhattisgarh,manendragarh chirmiri bharatpur m c b,March 2025,0,0
chhattisgarh,mohla manpur ambagarh chouki,March 2025,113,665
chhattisgarh,mungeli,March 2025,278,15373
chhattisgarh,narayanpur,March 2025,358,1920
chhattisgarh,raigarh,March 2025,1833,19707
chhattisgarh,raipur,March 2025,1175,20034
chhattisgarh,rajnandgaon,March 2025,886,24246
chhattisgarh,sakti,March 2025,99,789
chhattisgarh,sarangarh bilaigarh,March 2025,0,0
chhattisgarh,sukma,March 2025,260,1427
chhattisgarh,surajpur,March 2025,570,7642
chhattisgarh,surguja,March 2025,939,11184
chhattisgarh,uttar bastar kanker,March 2025,128,1212
delhi,central,March 2025,0,0
delhi,east,March 2025,0,0
delhi,new delhi,March 2025,252,1390
delhi,north,March 2025,0,0
delhi,north east,March 2025,23,2908
delhi,north west,March 2025,0,0
delhi,shahdara,March 2025,660,4206
delhi,south,March 2025,0,0
delhi,south east,March 2025,0,0
delhi,south west,March 2025,0,0
delhi,west,March 2025,0,0
goa,north goa,March 2025,653,3568
goa,south goa,March 2025,570,2780
gujarat,ahmedabad,March 2025,9162,55255
gujarat,amreli,March 2025,1128,7235
gujarat,anand,March 2025,1001,11416
gujarat,arvalli,March 2025,740,1351
gujarat,banas kantha,March 2025,2962,12676
gujarat,bharuch,March 2025,2761,13952
gujarat,bhavnagar,March 2025,2409,14481
gujarat,botad,March 2025,721,1931
gujarat,chhotaudepur,March 2025,740,2493
gujarat,dahod,March 2025,2071,11658
gujarat,dangs,March 2025,0,0
gujarat,devbhumi dwarka,March 2025,167,1511
gujarat,gandhinagar,March 2025,1801,12352
gujarat,gir somnath,March 2025,933,2191
gujarat,jamnagar,March 2025,1436,11597
gujarat,junagadh,March 2025,1663,9295
gujarat,kachchh,March 2025,2113,10502
gujarat,kheda,March 2025,3116,17120
gujarat,mahesana,March 2025,2590,12569
gujarat,mahisagar,March 2025,238,1710
gujarat,morbi,March 2025,552,2353
gujarat,narmada,March 2025,955,3082
gujarat,navsari,March 2025,2844,8310
gujarat,panch mahals,March 2025,0,0
gujarat,patan,March 2025,988,6330
gujarat,porbandar,March 2025,829,3297
gujarat,rajkot,March 2025,2099,22508
gujarat,sabar kantha,March 2025,0,0
gujarat,surat,March 2025,7172,56297
gujarat,surendranagar,March 2025,0,0
gujarat,tapi,March 2025,1115,3072
gujarat,vadodara,March 2025,3492,27140
gujarat,valsad,March 2025,3409,11950
gujarat,vav tharad,March 2025,0,0
haryana,ambala,March 2025,516,4084
haryana,bhiwani,March 2025,601,5350
haryana,charkhi dadri,March 2025,312,2114
haryana,faridabad,March 2025,2675,21482
haryana,fatehabad,March 2025,802,7118
haryana,gurugram,March 2025,0,0
haryana,hisar,March 2025,1003,9821
haryana,jhajjar,March 2025,808,5900
haryana,jind,March 2025,673,5955
haryana,kaithal,March 2025,969,8135
haryana,karnal,March 2025,1203,9116
haryana,kurukshetra,March 2025,636,4982
haryana,mahendragarh,March 2025,478,4766
haryana,nuh,March 2025,0,0
haryana,palwal,March 2025,1067,9937
haryana,panchkula,March 2025,1000,5478
haryana,panipat,March 2025,393,2836
haryana,rewari,March 2025,903,5174
haryana,rohtak,March 2025,577,3477
haryana,sirsa,March 2025,669,7127
haryana,sonipat,March 2025,1089,8791
haryana,yamunanagar,March 2025,0,0
himachal pradesh,bilaspur,March 2025,136,885
himachal pradesh,chamba,March 2025,1006,3938
himachal pradesh,hamirpur,March 2025,103,756
himachal pradesh,kangra,March 2025,960,7812
himachal pradesh,kinnaur,March 2025,0,0
himachal pradesh,kullu,March 2025,273,1431
himachal pradesh,lahaul and spiti,March 2025,0,0
himachal pradesh,mandi,March 2025,730,3372
himachal pradesh,shimla,March 2025,378,2808
himachal pradesh,sirmaur,March 2025,729,3559
himachal pradesh,solan,March 2025,251,1577
himachal pradesh,una,March 2025,121,976
jammu and kashmir,anantnag,March 2025,1210,7828
jammu and kashmir,bandipora,March 2025,369,2119
jammu and kashmir,baramulla,March 2025,1033,5263
jammu and kashmir,budgam,March 2025,1603,3792
jammu and kashmir,doda,March 2025,264,2181
jammu and kashmir,ganderbal,March 2025,179,1123
jammu and kashmir,jammu,March 2025,858,9258
jammu and kashmir,kathua,March 2025,407,4528
jammu and kashmir,kishtwar,March 2025,0,0
jammu and kashmir,kulgam,March 2025,462,2414
jammu and kashmir,kupwara,March 2025,1260,6342
jammu and kashmir,poonch,March 2025,0,0
jammu and kashmir,pulwama,March 2025,559,3044
jammu and kashmir,rajouri,March 2025,687,3575
jammu and kashmir,ramban,March 2025,397,1482
jammu and kashmir,reasi,March 2025,458,2926
jammu and kashmir,samba,March 2025,107,948
jammu and kashmir,shopian,March 2025,0,0
jammu and kashmir,srinagar,March 2025,793,7017
jammu and kashmir,udhampur,March 2025,379,4584
jharkhand,bokaro,March 2025,696,30424
jharkhand,chatra,March 2025,771,15350
jharkhand,deoghar,March 2025,839,25753
jharkhand,dhanbad,March 2025,1576,51451
jharkhand,dumka,March 2025,1035,23577
jharkhand,east singhbum,March 2025,1142,20118
jharkhand,garhwa,March 2025,422,9519
jharkhand,giridih,March 2025,2465,65203
jharkhand,godda,March 2025,702,17494
jharkhand,gumla,March 2025,502,10116
jharkhand,hazaribagh,March 2025,1470,30851
jharkhand,jamtara,March 2025,318,11822
jharkhand,khunti,March 2025,371,7375
jharkhand,koderma,March 2025,336,12760
jharkhand,latehar,March 2025,627,12455
jharkhand,lohardaga,March 2025,311,6001
jharkhand,pakur,March 2025,1071,24049
jharkhand,palamu,March 2025,2739,53657
jharkhand,ramgarh,March 2025,625,14401
jharkhand,ranchi,March 2025,2195,35596
jharkhand,sahebganj,March 2025,1053,22986
jharkhand,saraikela kharsawan,March 2025,418,8451
jharkhand,simdega,March 2025,458,8904
jharkhand,west singhbhum,March 2025,771,14735
karnataka,bagalkote,March 2025,6734,9841
karnataka,ballari,March 2025,1424,5310
karnataka,belagavi,March 2025,6504,11546
karnataka,bengaluru rural,March 2025,0,0
karnataka,bengaluru south,March 2025,0,0
karnataka,bengaluru urban,March 2025,0,0
karnataka,bidar,March 2025,1812,10301
karnataka,chamarajanagar,March 2025,982,4007
karnataka,chikkaballapura,March 2025,1083,7919
karnataka,chikkamagaluru,March 2025,588,2431
karnataka,chitradurga,March 2025,1400,9013
karnataka,dakshina kannada,March 2025,2446,14069
karnataka,davanagere,March 2025,1578,6086
karnataka,dharwad,March 2025,4738,9235
karnataka,gadag,March 2025,3904,5286
karnataka,hassan,March 2025,1492,6688
karnataka,haveri,March 2025,6366,6917
karnataka,kalaburagi,March 2025,1892,6192
karnataka,kodagu,March 2025,299,2302
karnataka,kolar,March 2025,1094,8671
karnataka,koppal,March 2025,1920,7737
karnataka,mandya,March 2025,1103,9607
karnataka,mysuru,March 2025,1308,7910
karnataka,raichur,March 2025,1203,7460
karnataka,shivamogga,March 2025,1894,6956
karnataka,tumakuru,March 2025,2169,11826
karnataka,udupi,March 2025,1135,6735
karnataka,uttara kannada,March 2025,1738,7666
karnataka,vijayanagara,March 2025,859,3421
karnataka,vijayapura,March 2025,4662,5395
karnataka,yadgir,March 2025,2116,7682
kerala,alappuzha,March 2025,206,2629
kerala,ernakulam,March 2025,926,9472
kerala,idukki,March 2025,129,1430
kerala,kannur,March 2025,700,6329
kerala,kasaragod,March 2025,540,4127
kerala,kollam,March 2025,621,5923
kerala,kottayam,March 2025,87,953
kerala,kozhikode,March 2025,1741,15244
kerala,malappuram,March 2025,1981,21196
kerala,palakkad,March 2025,532,5546
kerala,pathanamthitta,March 2025,63,573
kerala,thiruvananthapuram,March 2025,888,8851
kerala,thrissur,March 2025,586,4978
kerala,wayanad,March 2025,410,4189
ladakh,kargil,March 2025,309,637
ladakh,leh ladakh,March 2025,0,0
lakshadweep,lakshadweep district,March 2025,0,0
madhya pradesh,agar malwa,March 2025,200,1966
madhya pradesh,alirajpur,March 2025,504,6836
madhya pradesh,anuppur,March 2025,353,3860
madhya pradesh,ashoknagar,March 2025,767,7226
madhya pradesh,balaghat,March 2025,2745,17133
madhya pradesh,barwani,March 2025,1605,12675
madhya pradesh,betul,March 2025,1826,9784
madhya pradesh,bhind,March 2025,1482,13377
madhya pradesh,bhopal,March 2025,1844,15489
madhya pradesh,burhanpur,March 2025,753,3189
madhya pradesh,chhatarpur,March 2025,2585,21358
madhya pradesh,chhindwara,March 2025,2400,11513
madhya pradesh,damoh,March 2025,929,10846
madhya pradesh,datia,March 2025,913,7399
madhya pradesh,dewas,March 2025,1095,12830
madhya pradesh,dhar,March 2025,2248,14409
madhya pradesh,dindori,March 2025,676,6609
madhya pradesh,guna,March 2025,688,10221
madhya pradesh,gwalior,March 2025,2014,15266
madhya pradesh,harda,March 2025,474,2587
madhya pradesh,indore,March 2025,3265,22947
madhya pradesh,jabalpur,March 2025,1578,19130
madhya pradesh,jhabua,March 2025,870,11823
madhya pradesh,katni,March 2025,967,10714
madhya pradesh,khandwa east nimar,March 2025,0,0
madhya pradesh,khargone west nimar,March 2025,0,0
madhya pradesh,maihar,March 2025,79,923
madhya pradesh,mandla,March 2025,1352,8364
madhya pradesh,mandsaur,March 2025,3894,14326
madhya pradesh,mauganj,March 2025,48,920
madhya pradesh,morena,March 2025,2789,29633
madhya pradesh,narmadapuram,March 2025,90,799
madhya pradesh,narsimhapur,March 2025,32,502
madhya pradesh,neemuch,March 2025,949,6505
madhya pradesh,niwari,March 2025,71,473
madhya pradesh,pandhurna,March 2025,0,0
madhya pradesh,panna,March 2025,673,10956
madhya pradesh,raisen,March 2025,1156,8260
madhya pradesh,rajgarh,March 2025,2106,10399
madhya pradesh,ratlam,March 2025,1486,15805
madhya pradesh,rewa,March 2025,1868,18520
madhya pradesh,sagar,March 2025,1128,16281
madhya pradesh,satna,March 2025,2019,19467
madhya pradesh,sehore,March 2025,805,4280
madhya pradesh,seoni,March 2025,2012,18208
madhya pradesh,shahdol,March 2025,971,13170
madhya pradesh,shajapur,March 2025,731,5170
madhya pradesh,sheopur,March 2025,822,7501
madhya pradesh,shivpuri,March 2025,2480,23237
madhya pradesh,sidhi,March 2025,1155,13579
madhya pradesh,singrauli,March 2025,925,7434
madhya pradesh,tikamgarh,March 2025,2254,13150
madhya pradesh,ujjain,March 2025,2175,15113
madhya pradesh,umaria,March 2025,646,8332
madhya pradesh,vidisha,March 2025,1146,5752
maharashtra,ahilyanagar,March 2025,0,0
maharashtra,akola,March 2025,556,9714
maharashtra,amravati,March 2025,1169,13166
maharashtra,beed,March 2025,1133,27733
maharashtra,bhandara,March 2025,268,5318
maharashtra,buldhana,March 2025,872,12410
maharashtra,chandrapur,March 2025,355,8933
maharashtra,chhatrapati sambhajinagar,March 2025,208,1559
maharashtra,dharashiv,March 2025,22,141
maharashtra,dhule,March 2025,454,6315
maharashtra,gadchiroli,March 2025,222,3588
maharashtra,gondia,March 2025,415,4676
maharashtra,hingoli,March 2025,390,10091
maharashtra,jalgaon,March 2025,1160,16617
maharashtra,jalna,March 2025,927,11590
maharashtra,kolhapur,March 2025,868,15179
maharashtra,latur,March 2025,877,18154
maharashtra,mumbai,March 2025,1278,23195
maharashtra,mumbai suburban,March 2025,4058,39957
maharashtra,nagpur,March 2025,2249,25703
maharashtra,nanded,March 2025,1084,22465
maharashtra,nandurbar,March 2025,479,4372
maharashtra,nashik,March 2025,2083,31017
maharashtra,palghar,March 2025,1624,23551
maharashtra,parbhani,March 2025,723,13719
maharashtra,pune,March 2025,5781,74631
maharashtra,raigad,March 2025,431,4268
maharashtra,ratnagiri,March 2025,188,3524
maharashtra,sangli,March 2025,271,6281
maharashtra,satara,March 2025,529,10238
maharashtra,sindhudurg,March 2025,125,2000
maharashtra,solapur,March 2025,1562,31965
maharashtra,thane,March 2025,6005,69162
maharashtra,wardha,March 2025,564,4601
maharashtra,washim,March 2025,239,3843
maharashtra,yavatmal,March 2025,1238,21186
manipur,bishnupur,March 2025,532,4147
manipur,chandel,March 2025,265,1347
manipur,churachandpur,March 2025,1006,3708
manipur,imphal east,March 2025,353,2547
manipur,imphal west,March 2025,694,5271
manipur,jiribam,March 2025,11,222
manipur,kakching,March 2025,0,0
manipur,kamjong,March 2025,0,0
manipur,kangpokpi,March 2025,0,0
manipur,noney,March 2025,0,0
manipur,pherzawl,March 2025,0,0
manipur,senapati,March 2025,605,3069
manipur,tamenglong,March 2025,231,1505
manipur,tengnoupal,March 2025,0,0
manipur,thoubal,March 2025,702,3603
manipur,ukhrul,March 2025,176,1752
meghalaya,east garo hills,March 2025,80,3072
meghalaya,east jaintia hills,March 2025,173,1169
meghalaya,east khasi hills,March 2025,669,5210
meghalaya,eastern west khasi hills,March 2025,0,0
meghalaya,north garo hills,March 2025,48,1432
meghalaya,ri bhoi,March 2025,331,3073
meghalaya,south garo hills,March 2025,85,2130
meghalaya,south west garo hills,March 2025,106,3395
meghalaya,south west khasi hills,March 2025,368,2872
meghalaya,west garo hills,March 2025,287,5326
meghalaya,west jaintia hills,March 2025,493,3436
meghalaya,west khasi hills,March 2025,586,4691
mizoram,aizawl,March 2025,744,5276
mizoram,champhai,March 2025,136,1824
mizoram,hnahthial,March 2025,0,0
mizoram,khawzawl,March 2025,0,0
mizoram,kolasib,March 2025,103,690
mizoram,lawngtlai,March 2025,39,461
mizoram,lunglei,March 2025,693,3783
mizoram,mamit,March 2025,172,899
mizoram,saitual,March 2025,0,0
mizoram,serchhip,March 2025,211,1153
mizoram,siaha,March 2025,0,0
nagaland,chumoukedima,March 2025,62,447
nagaland,dimapur,March 2025,256,2014
nagaland,kiphire,March 2025,60,682
nagaland,kohima,March 2025,48,896
nagaland,longleng,March 2025,0,0
nagaland,meluri,March 2025,0,0
nagaland,mokokchung,March 2025,38,782
nagaland,mon,March 2025,162,1192
nagaland,niuland,March 2025,27,127
nagaland,noklak,March 2025,0,0
nagaland,peren,March 2025,61,445
nagaland,phek,March 2025,15,307
nagaland,shamator,March 2025,0,0
nagaland,tseminyu,March 2025,0,0
nagaland,tuensang,March 2025,110,1198
nagaland,wokha,March 2025,70,1022
nagaland,zunheboto,March 2025,53,498
odisha,angul,March 2025,1105,8037
odisha,balangir,March 2025,1097,11075
odisha,balasore,March 2025,0,0
odisha,bargarh,March 2025,814,7814
odisha,bhadrak,March 2025,2025,12398
odisha,boudh,March 2025,172,1820
odisha,cuttack,March 2025,1830,17706
odisha,deogarh,March 2025,0,0
odisha,dhenkanal,March 2025,1232,7709
odisha,gajapati,March 2025,960,7416
odisha,ganjam,March 2025,3639,31723
odisha,jagatsinghapur,March 2025,705,5912
odisha,jajpur,March 2025,1951,13415
odisha,jharsuguda,March 2025,543,5926
odisha,kalahandi,March 2025,1217,13544
odisha,kandhamal,March 2025,1029,8549
odisha,kendrapara,March 2025,1629,13310
odisha,keonjhar,March 2025,0,0
odisha,khordha,March 2025,1818,12364
odisha,koraput,March 2025,965,11547
odisha,malkangiri,March 2025,721,5296
odisha,mayurbhanj,March 2025,2569,20726
odisha,nabarangpur,March 2025,882,14474
odisha,nayagarh,March 2025,1106,7983
odisha,nuapada,March 2025,433,4707
odisha,puri,March 2025,787,7675
odisha,rayagada,March 2025,1042,9181
odisha,sambalpur,March 2025,1093,8218
odisha,sonepur,March 2025,477,4437
odisha,sundargarh,March 2025,2209,17006
puducherry,karaikal,March 2025,147,1109
puducherry,puducherry,March 2025,332,2768
punjab,amritsar,March 2025,868,13927
punjab,barnala,March 2025,206,4091
punjab,bathinda,March 2025,219,5745
punjab,faridkot,March 2025,132,2753
punjab,fatehgarh sahib,March 2025,261,4464
punjab,fazilka,March 2025,366,6544
punjab,ferozepur,March 2025,489,7846
punjab,gurdaspur,March 2025,678,13549
punjab,hoshiarpur,March 2025,614,8400
punjab,jalandhar,March 2025,815,12161
punjab,kapurthala,March 2025,62,1038
punjab,ludhiana,March 2025,1538,21750
punjab,malerkotla,March 2025,259,3960
punjab,mansa,March 2025,291,6316
punjab,moga,March 2025,196,3904
punjab,pathankot,March 2025,169,1831
punjab,patiala,March 2025,838,14443
punjab,rupnagar,March 2025,242,2572
punjab,s a s nagar,March 2025,0,0
punjab,sangrur,March 2025,383,7918
punjab,shahid bhagat singh nagar,March 2025,88,838
punjab,sri muktsar sahib,March 2025,537,7320
punjab,tarn taran,March 2025,139,4039
rajasthan,ajmer,March 2025,2964,40194
rajasthan,alwar,March 2025,4299,55898
rajasthan,balotra,March 2025,0,0
rajasthan,banswara,March 2025,1056,52902
rajasthan,baran,March 2025,2233,39435
rajasthan,barmer,March 2025,3007,56849
rajasthan,beawar,March 2025,0,0
rajasthan,bharatpur,March 2025,2132,41005
rajasthan,bhilwara,March 2025,1549,43583
rajasthan,bikaner,March 2025,2307,22668
rajasthan,bundi,March 2025,1237,21657
rajasthan,chittorgarh,March 2025,1524,28575
rajasthan,churu,March 2025,1756,25226
rajasthan,dausa,March 2025,1503,19405
rajasthan,deeg,March 2025,0,0
rajasthan,dholpur,March 2025,2248,33851
rajasthan,didwana kuchaman,March 2025,0,0
rajasthan,dungarpur,March 2025,940,60463
rajasthan,ganganagar,March 2025,1660,27882
rajasthan,hanumangarh,March 2025,1862,29012
rajasthan,jaipur,March 2025,5725,52905
rajasthan,jaisalmer,March 2025,365,4680
rajasthan,jalore,March 2025,1707,38034
rajasthan,jhalawar,March 2025,1904,45544
rajasthan,jhunjhunu,March 2025,1168,15045
rajasthan,jodhpur,March 2025,3137,56653
rajasthan,karauli,March 2025,2295,23136
rajasthan,khairthal tijara,March 2025,0,0
rajasthan,kota,March 2025,2431,32899
rajasthan,kotputli behror,March 2025,0,0
rajasthan,nagaur,March 2025,2751,43478
rajasthan,pali,March 2025,1078,24932
rajasthan,phalodi,March 2025,0,0
rajasthan,pratapgarh,March 2025,618,17626
rajasthan,rajsamand,March 2025,1184,16806
rajasthan,salumbar,March 2025,0,0
rajasthan,sawai madhopur,March 2025,1193,14611
rajasthan,sikar,March 2025,2628,22158
rajasthan,sirohi,March 2025,769,13048
rajasthan,tonk,March 2025,1093,16897
rajasthan,udaipur,March 2025,2318,58055
sikkim,gangtok,March 2025,0,0
sikkim,gyalshing,March 2025,0,0
sikkim,mangan,March 2025,0,0
sikkim,namchi,March 2025,0,0
sikkim,pakyong,March 2025,0,0
sikkim,soreng,March 2025,0,0
tamil nadu,ariyalur,March 2025,511,7097
tamil nadu,chengalpattu,March 2025,308,2753
tamil nadu,chennai,March 2025,2515,28888
tamil nadu,coimbatore,March 2025,1929,24925
tamil nadu,cuddalore,March 2025,1129,21316
tamil nadu,dharmapuri,March 2025,868,10214
tamil nadu,dindigul,March 2025,1276,13938
tamil nadu,erode,March 2025,964,15860
tamil nadu,kallakurichi,March 2025,360,2296
tamil nadu,kancheepuram,March 2025,2708,33707
tamil nadu,kanniyakumari,March 2025,2665,17379
tamil nadu,karur,March 2025,299,4483
tamil nadu,krishnagiri,March 2025,1592,16002
tamil nadu,madurai,March 2025,2197,24984
tamil nadu,mayiladuthurai,March 2025,78,518
tamil nadu,nagapattinam,March 2025,200,3737
tamil nadu,namakkal,March 2025,675,8153
tamil nadu,perambalur,March 2025,248,2972
tamil nadu,pudukkottai,March 2025,782,11725
tamil nadu,ramanathapuram,March 2025,765,9136
tamil nadu,ranipet,March 2025,22,87
tamil nadu,salem,March 2025,2020,25828
tamil nadu,sivaganga,March 2025,559,5841
tamil nadu,tenkasi,March 2025,356,1933
tamil nadu,thanjavur,March 2025,1247,19276
tamil nadu,the nilgiris,March 2025,216,2308
tamil nadu,theni,March 2025,453,7467
tamil nadu,thiruvallur,March 2025,2896,33401
tamil nadu,thiruvarur,March 2025,433,6086
tamil nadu,thoothukkudi,March 2025,809,8492
tamil nadu,tiruchirappalli,March 2025,1393,15845
tamil nadu,tirunelveli,March 2025,2343,18957
tamil nadu,tirupathur,March 2025,275,1985
tamil nadu,tiruppur,March 2025,1481,16831
tamil nadu,tiruvannamalai,March 2025,972,15292
tamil nadu,vellore,March 2025,1267,17237
tamil nadu,viluppuram,March 2025,808,7226
tamil nadu,virudhunagar,March 2025,954,9015
telangana,adilabad,March 2025,1388,8140
telangana,bhadradri kothagudem,March 2025,1083,7541
telangana,hanumakonda,March 2025,377,3339
telangana,hyderabad,March 2025,5726,27917
telangana,jagitial,March 2025,585,2506
telangana,jangoan,March 2025,217,1838
telangana,jayashankar bhupalapally,March 2025,369,4758
telangana,jogulamba gadwal,March 2025,1940,4634
telangana,kamareddy,March 2025,702,2202
telangana,karimnagar,March 2025,3095,17598
telangana,khammam,March 2025,1381,11374
telangana,kumuram bheem asifabad,March 2025,0,0
telangana,mahabubabad,March 2025,555,4091
telangana,mahabubnagar,March 2025,5748,16116
telangana,mancherial,March 2025,483,3732
telangana,medak,March 2025,2501,8887
telangana,medchal malkajgiri,March 2025,2745,14296
telangana,mulugu,March 2025,292,2680
telangana,nagarkurnool,March 2025,924,3771
telangana,nalgonda,March 2025,2928,15589
telangana,narayanpet,March 2025,387,1975
telangana,nirmal,March 2025,535,2546
telangana,nizamabad,March 2025,3492,13865
telangana,peddapalli,March 2025,116,1016
telangana,rajanna sircilla,March 2025,323,1869
telangana,ranga reddy,March 2025,139,1291
telangana,sangareddy,March 2025,1546,5717
telangana,siddipet,March 2025,995,3196
