month,state_norm,district_resolved,demo_age_5_17,demo_age_17_
March 2025,bihar,saran,3695,41077
March 2025,bihar,sheikhpura,490,5055
March 2025,bihar,sheohar,778,7797
March 2025,bihar,sitamarhi,3044,36696
March 2025,bihar,siwan,2637,26684
March 2025,bihar,supaul,1661,29320
March 2025,bihar,vaishali,3660,39009
March 2025,chandigarh,chandigarh,1296,8949
March 2025,chhattisgarh,balod,827,10913
March 2025,chhattisgarh,bastar,878,10394
March 2025,chhattisgarh,bemetara,354,10548
March 2025,chhattisgarh,bijapur,294,3385
March 2025,chhattisgarh,bilaspur,1066,19431
March 2025,chhattisgarh,dakshin bastar dantewada,364,771
March 2025,chhattisgarh,dhamtari,382,10273
March 2025,chhattisgarh,durg,1512,10144
March 2025,chhattisgarh,gariyaband,122,5062
March 2025,chhattisgarh,gaurela pendra marwahi,79,773
March 2025,chhattisgarh,janjgir champa,1438,30658
March 2025,chhattisgarh,jashpur,1352,6992
March 2025,chhattisgarh,kabeerdham,215,3840
March 2025,chhattisgarh,kondagaon,114,1192
March 2025,chhattisgarh,korba,223,4727
March 2025,chhattisgarh,mahasamund,309,3131
March 2025,chhattisgarh,mohla manpur ambagarh chouki,113,665
March 2025,chhattisgarh,mungeli,278,15373
March 2025,chhattisgarh,narayanpur,358,1920
March 2025,chhattisgarh,raigarh,1833,19707
March 2025,chhattisgarh,raipur,1175,20034
March 2025,chhattisgarh,rajnandgaon,886,24246
March 2025,chhattisgarh,sakti,99,789
March 2025,chhattisgarh,sukma,260,1427
March 2025,chhattisgarh,surajpur,570,7642
March 2025,chhattisgarh,surguja,939,11184
March 2025,chhattisgarh,uttar bastar kanker,128,1212
March 2025,delhi,new delhi,252,1390
March 2025,delhi,north east,23,2908
March 2025,delhi,shahdara,660,4206
March 2025,goa,north goa,653,3568
March 2025,goa,south goa,570,2780
March 2025,gujarat,ahmedabad,9162,55255
March 2025,gujarat,amreli,1128,7235
March 2025,gujarat,anand,1001,11416
March 2025,gujarat,arvalli,740,1351
March 2025,gujarat,banas kantha,2962,12676
March 2025,gujarat,bharuch,2761,13952
March 2025,gujarat,bhavnagar,2409,14481
March 2025,gujarat,botad,721,1931
March 2025,gujarat,chhotaudepur,740,2493
March 2025,gujarat,dahod,2071,11658
March 2025,gujarat,devbhumi dwarka,167,1511
March 2025,gujarat,gandhinagar,1801,12352
March 2025,gujarat,gir somnath,933,2191
March 2025,gujarat,jamnagar,1436,11597
March 2025,gujarat,junagadh,1663,9295
March 2025,gujarat,kachchh,2113,10502
March 2025,gujarat,kheda,3116,17120
March 2025,gujarat,mahesana,2590,12569
March 2025,gujarat,mahisagar,238,1710
March 2025,gujarat,morbi,552,2353
March 2025,gujarat,narmada,955,3082
March 2025,gujarat,navsari,2844,8310
March 2025,gujarat,patan,988,6330
March 2025,gujarat,porbandar,829,3297
March 2025,gujarat,rajkot,2099,22508
March 2025,gujarat,surat,7172,56297
March 2025,gujarat,tapi,1115,3072
March 2025,gujarat,vadodara,3492,27140
March 2025,gujarat,valsad,3409,11950
March 2025,haryana,ambala,516,4084
March 2025,haryana,bhiwani,601,5350
March 2025,haryana,charkhi dadri,312,2114
March 2025,haryana,faridabad,2675,21482
March 2025,haryana,fatehabad,802,7118
March 2025,haryana,hisar,1003,9821
March 2025,haryana,jhajjar,808,5900
March 2025,haryana,jind,673,5955
March 2025,haryana,kaithal,969,8135
March 2025,haryana,karnal,1203,9116
March 2025,haryana,kurukshetra,636,4982
March 2025,haryana,mahendragarh,478,4766
March 2025,haryana,palwal,1067,9937
March 2025,haryana,panchkula,1000,5478
March 2025,haryana,panipat,393,2836
March 2025,haryana,rewari,903,5174
March 2025,haryana,rohtak,577,3477
March 2025,haryana,sirsa,669,7127
March 2025,haryana,sonipat,1089,8791
March 2025,himachal pradesh,bilaspur,136,885
March 2025,himachal pradesh,chamba,1006,3938
March 2025,himachal pradesh,hamirpur,103,756
March 2025,himachal pradesh,kangra,960,7812
March 2025,himachal pradesh,kullu,273,1431
March 2025,himachal pradesh,mandi,730,3372
March 2025,himachal pradesh,shimla,378,2808
March 2025,himachal pradesh,sirmaur,729,3559
March 2025,himachal pradesh,solan,251,1577
March 2025,himachal pradesh,una,121,976
March 2025,jammu and kashmir,anantnag,1210,7828
March 2025,jammu and kashmir,bandipora,369,2119
March 2025,jammu and kashmir,baramulla,1033,5263
March 2025,jammu and kashmir,budgam,1603,3792
March 2025,jammu and kashmir,doda,264,2181
March 2025,jammu and kashmir,ganderbal,179,1123
March 2025,jammu and kashmir,jammu,858,9258
March 2025,jammu and kashmir,kathua,407,4528
March 2025,jammu and kashmir,kulgam,462,2414
March 2025,jammu and kashmir,kupwara,1260,6342
March 2025,jammu and kashmir,pulwama,559,3044
March 2025,jammu and kashmir,rajouri,687,3575
March 2025,jammu and kashmir,ramban,397,1482
March 2025,jammu and kashmir,reasi,458,2926
March 2025,jammu and kashmir,samba,107,948
March 2025,jammu and kashmir,srinagar,793,7017
March 2025,jammu and kashmir,udhampur,379,4584
March 2025,jharkhand,bokaro,696,30424
March 2025,jharkhand,chatra,771,15350
March 2025,jharkhand,deoghar,839,25753
March 2025,jharkhand,dhanbad,1576,51451
March 2025,jharkhand,dumka,1035,23577
March 2025,jharkhand,east singhbum,1142,20118
March 2025,jharkhand,garhwa,422,9519
March 2025,jharkhand,giridih,2465,65203
March 2025,jharkhand,godda,702,17494
March 2025,jharkhand,gumla,502,10116
March 2025,jharkhand,hazaribagh,1470,30851
March 2025,jharkhand,jamtara,318,11822
March 2025,jharkhand,khunti,371,7375
March 2025,jharkhand,koderma,336,12760
March 2025,jharkhand,latehar,627,12455
March 2025,jharkhand,lohardaga,311,6001
March 2025,jharkhand,pakur,1071,24049
March 2025,jharkhand,palamu,2739,53657
March 2025,jharkhand,ramgarh,625,14401
March 2025,jharkhand,ranchi,2195,35596
March 2025,jharkhand,sahebganj,1053,22986
March 2025,jharkhand,saraikela kharsawan,418,8451
March 2025,jharkhand,simdega,458,8904
March 2025,jharkhand,west singhbhum,771,14735
March 2025,karnataka,bagalkote,6734,9841
March 2025,karnataka,ballari,1424,5310
March 2025,karnataka,belagavi,6504,11546
March 2025,karnataka,bidar,1812,10301
March 2025,karnataka,chamarajanagar,982,4007
March 2025,karnataka,chikkaballapura,1083,7919
March 2025,karnataka,chikkamagaluru,588,2431
March 2025,karnataka,chitradurga,1400,9013
March 2025,karnataka,dakshina kannada,2446,14069
March 2025,karnataka,davanagere,1578,6086
March 2025,karnataka,dharwad,4738,9235
March 2025,karnataka,gadag,3904,5286
March 2025,karnataka,hassan,1492,6688
March 2025,karnataka,haveri,6366,6917
March 2025,karnataka,kalaburagi,1892,6192
March 2025,karnataka,kodagu,299,2302
March 2025,karnataka,kolar,1094,8671
March 2025,karnataka,koppal,1920,7737
March 2025,karnataka,mandya,1103,9607
March 2025,karnataka,mysuru,1308,7910
March 2025,karnataka,raichur,1203,7460
March 2025,karnataka,shivamogga,1894,6956
March 2025,karnataka,tumakuru,2169,11826
March 2025,karnataka,udupi,1135,6735
March 2025,karnataka,uttara kannada,1738,7666
March 2025,karnataka,vijayanagara,859,3421
March 2025,karnataka,vijayapura,4662,5395
March 2025,karnataka,yadgir,2116,7682
March 2025,kerala,alappuzha,206,2629
March 2025,kerala,ernakulam,926,9472
March 2025,kerala,idukki,129,1430
March 2025,kerala,kannur,700,6329
March 2025,kerala,kasaragod,540,4127
March 2025,kerala,kollam,621,5923
March 2025,kerala,kottayam,87,953
March 2025,kerala,kozhikode,1741,15244
March 2025,kerala,malappuram,1981,21196
March 2025,kerala,palakkad,532,5546
March 2025,kerala,pathanamthitta,63,573
March 2025,kerala,thiruvananthapuram,888,8851
March 2025,kerala,thrissur,586,4978
March 2025,kerala,wayanad,410,4189
March 2025,ladakh,kargil,309,637
March 2025,madhya pradesh,agar malwa,200,1966
March 2025,madhya pradesh,alirajpur,504,6836
March 2025,madhya pradesh,anuppur,353,3860
March 2025,madhya pradesh,ashoknagar,767,7226
March 2025,madhya pradesh,balaghat,2745,17133
March 2025,madhya pradesh,barwani,1605,12675
March 2025,madhya pradesh,betul,1826,9784
March 2025,madhya pradesh,bhind,1482,13377
March 2025,madhya pradesh,bhopal,1844,15489
March 2025,madhya pradesh,burhanpur,753,3189
March 2025,madhya pradesh,chhatarpur,2585,21358
March 2025,madhya pradesh,chhindwara,2400,11513
March 2025,madhya pradesh,damoh,929,10846
March 2025,madhya pradesh,datia,913,7399
March 2025,madhya pradesh,dewas,1095,12830
March 2025,madhya pradesh,dhar,2248,14409
March 2025,madhya pradesh,dindori,676,6609
March 2025,madhya pradesh,guna,688,10221
March 2025,madhya pradesh,gwalior,2014,15266
March 2025,madhya pradesh,harda,474,2587
March 2025,madhya pradesh,indore,3265,22947
March 2025,madhya pradesh,jabalpur,1578,19130
March 2025,madhya pradesh,jhabua,870,11823
March 2025,madhya pradesh,katni,967,10714
March 2025,madhya pradesh,maihar,79,923
March 2025,madhya pradesh,mandla,1352,8364
March 2025,madhya pradesh,mandsaur,3894,14326
March 2025,madhya pradesh,mauganj,48,920
March 2025,madhya pradesh,morena,2789,29633
March 2025,madhya pradesh,narmadapuram,90,799
March 2025,madhya pradesh,narsimhapur,32,502
March 2025,madhya pradesh,neemuch,949,6505
March 2025,madhya pradesh,niwari,71,473
March 2025,madhya pradesh,panna,673,10956
March 2025,madhya pradesh,raisen,1156,8260
March 2025,madhya pradesh,rajgarh,2106,10399
March 2025,madhya pradesh,ratlam,1486,15805
March 2025,madhya pradesh,rewa,1868,18520
March 2025,madhya pradesh,sagar,1128,16281
March 2025,madhya pradesh,satna,2019,19467
March 2025,madhya pradesh,sehore,805,4280
March 2025,madhya pradesh,seoni,2012,18208
March 2025,madhya pradesh,shahdol,971,13170
March 2025,madhya pradesh,shajapur,731,5170
March 2025,madhya pradesh,sheopur,822,7501
March 2025,madhya pradesh,shivpuri,2480,23237
March 2025,madhya pradesh,sidhi,1155,13579
March 2025,madhya pradesh,singrauli,925,7434
March 2025,madhya pradesh,tikamgarh,2254,13150
March 2025,madhya pradesh,ujjain,2175,15113
March 2025,madhya pradesh,umaria,646,8332
March 2025,madhya pradesh,vidisha,1146,5752
March 2025,maharashtra,akola,556,9714
March 2025,maharashtra,amravati,1169,13166
March 2025,maharashtra,beed,1133,27733
March 2025,maharashtra,bhandara,268,5318
March 2025,maharashtra,buldhana,872,12410
March 2025,maharashtra,chandrapur,355,8933
March 2025,maharashtra,chhatrapati sambhajinagar,208,1559
March 2025,maharashtra,dharashiv,22,141
March 2025,maharashtra,dhule,454,6315
March 2025,maharashtra,gadchiroli,222,3588
March 2025,maharashtra,gondia,415,4676
March 2025,maharashtra,hingoli,390,10091
March 2025,maharashtra,jalgaon,1160,16617
March 2025,maharashtra,jalna,927,11590
March 2025,maharashtra,kolhapur,868,15179
March 2025,maharashtra,latur,877,18154
March 2025,maharashtra,mumbai,1278,23195
March 2025,maharashtra,mumbai suburban,4058,39957
March 2025,maharashtra,nagpur,2249,25703
March 2025,maharashtra,nanded,1084,22465
March 2025,maharashtra,nandurbar,479,4372
March 2025,maharashtra,nashik,2083,31017
March 2025,maharashtra,palghar,1624,23551
March 2025,maharashtra,parbhani,723,13719
March 2025,maharashtra,pune,5781,74631
March 2025,maharashtra,raigad,431,4268
March 2025,maharashtra,ratnagiri,188,3524
March 2025,maharashtra,sangli,271,6281
March 2025,maharashtra,satara,529,10238
March 2025,maharashtra,sindhudurg,125,2000
March 2025,maharashtra,solapur,1562,31965
March 2025,maharashtra,thane,6005,69162
March 2025,maharashtra,wardha,564,4601
March 2025,maharashtra,washim,239,3843
March 2025,maharashtra,yavatmal,1238,21186
March 2025,manipur,bishnupur,532,4147
March 2025,manipur,chandel,265,1347
March 2025,manipur,churachandpur,1006,3708
March 2025,manipur,imphal east,353,2547
March 2025,manipur,imphal west,694,5271
March 2025,manipur,jiribam,11,222
March 2025,manipur,senapati,605,3069
March 2025,manipur,tamenglong,231,1505
March 2025,manipur,thoubal,702,3603
March 2025,manipur,ukhrul,176,1752
March 2025,meghalaya,east garo hills,80,3072
March 2025,meghalaya,east jaintia hills,173,1169
March 2025,meghalaya,east khasi hills,669,5210
March 2025,meghalaya,north garo hills,48,1432
March 2025,meghalaya,ri bhoi,331,3073
March 2025,meghalaya,south garo hills,85,2130
March 2025,meghalaya,south west garo hills,106,3395
March 2025,meghalaya,south west khasi hills,368,2872
March 2025,meghalaya,west garo hills,287,5326
March 2025,meghalaya,west jaintia hills,493,3436
March 2025,meghalaya,west khasi hills,586,4691
March 2025,mizoram,aizawl,744,5276
March 2025,mizoram,champhai,136,1824
March 2025,mizoram,kolasib,103,690
March 2025,mizoram,lawngtlai,39,461
March 2025,mizoram,lunglei,693,3783
March 2025,mizoram,mamit,172,899
March 2025,mizoram,serchhip,211,1153
March 2025,nagaland,chumoukedima,62,447
March 2025,nagaland,dimapur,256,2014
March 2025,nagaland,kiphire,60,682
March 2025,nagaland,kohima,48,896
March 2025,nagaland,mokokchung,38,782
March 2025,nagaland,mon,162,1192
March 2025,nagaland,niuland,27,127
March 2025,nagaland,peren,61,445
March 2025,nagaland,phek,15,307
March 2025,nagaland,tuensang,110,1198
March 2025,nagaland,wokha,70,1022
March 2025,nagaland,zunheboto,53,498
March 2025,odisha,angul,1105,8037
March 2025,odisha,balangir,1097,11075
March 2025,odisha,bargarh,814,7814
March 2025,odisha,bhadrak,2025,12398
March 2025,odisha,boudh,172,1820
March 2025,odisha,cuttack,1830,17706
March 2025,odisha,dhenkanal,1232,7709
March 2025,odisha,gajapati,960,7416
March 2025,odisha,ganjam,3639,31723
March 2025,odisha,jagatsinghapur,705,5912
March 2025,odisha,jajpur,1951,13415
March 2025,odisha,jharsuguda,543,5926
March 2025,odisha,kalahandi,1217,13544
March 2025,odisha,kandhamal,1029,8549
March 2025,odisha,kendrapara,1629,13310
March 2025,odisha,khordha,1818,12364
March 2025,odisha,koraput,965,11547
March 2025,odisha,malkangiri,721,5296
March 2025,odisha,mayurbhanj,2569,20726
March 2025,odisha,nabarangpur,882,14474
March 2025,odisha,nayagarh,1106,7983
March 2025,odisha,nuapada,433,4707
March 2025,odisha,puri,787,7675
March 2025,odisha,rayagada,1042,9181
March 2025,odisha,sambalpur,1093,8218
March 2025,odisha,sonepur,477,4437
March 2025,odisha,sundargarh,2209,17006
March 2025,puducherry,karaikal,147,1109
March 2025,puducherry,puducherry,332,2768
March 2025,punjab,amritsar,868,13927
March 2025,punjab,barnala,206,4091
March 2025,punjab,bathinda,219,5745
March 2025,punjab,faridkot,132,2753
March 2025,punjab,fatehgarh sahib,261,4464
March 2025,punjab,fazilka,366,6544
March 2025,punjab,ferozepur,489,7846
March 2025,punjab,gurdaspur,678,13549
March 2025,punjab,hoshiarpur,614,8400
March 2025,punjab,jalandhar,815,12161
March 2025,punjab,kapurthala,62,1038
March 2025,punjab,ludhiana,1538,21750
March 2025,punjab,malerkotla,259,3960
March 2025,punjab,mansa,291,6316
March 2025,punjab,moga,196,3904
March 2025,punjab,pathankot,169,1831
March 2025,punjab,patiala,838,14443
March 2025,punjab,rupnagar,242,2572
March 2025,punjab,sangrur,383,7918
March 2025,punjab,shahid bhagat singh nagar,88,838
March 2025,punjab,sri muktsar sahib,537,7320
March 2025,punjab,tarn taran,139,4039
March 2025,rajasthan,ajmer,2964,40194
March 2025,rajasthan,alwar,4299,55898
March 2025,rajasthan,banswara,1056,52902
March 2025,rajasthan,baran,2233,39435
March 2025,rajasthan,barmer,3007,56849
March 2025,rajasthan,bharatpur,2132,41005
March 2025,rajasthan,bhilwara,1549,43583
March 2025,rajasthan,bikaner,2307,22668
March 2025,rajasthan,bundi,1237,21657
March 2025,rajasthan,chittorgarh,1524,28575
March 2025,rajasthan,churu,1756,25226
March 2025,rajasthan,dausa,1503,19405
March 2025,rajasthan,dholpur,2248,33851
March 2025,rajasthan,dungarpur,940,60463
March 2025,rajasthan,ganganagar,1660,27882
March 2025,rajasthan,hanumangarh,1862,29012
March 2025,rajasthan,jaipur,5725,52905
March 2025,rajasthan,jaisalmer,365,4680
March 2025,rajasthan,jalore,1707,38034
March 2025,rajasthan,jhalawar,1904,45544
March 2025,rajasthan,jhunjhunu,1168,15045
March 2025,rajasthan,jodhpur,3137,56653
March 2025,rajasthan,karauli,2295,23136
March 2025,rajasthan,kota,2431,32899
March 2025,rajasthan,nagaur,2751,43478
March 2025,rajasthan,pali,1078,24932
March 2025,rajasthan,pratapgarh,618,17626
March 2025,rajasthan,rajsamand,1184,16806
March 2025,rajasthan,sawai madhopur,1193,14611
March 2025,rajasthan,sikar,2628,22158
March 2025,rajasthan,sirohi,769,13048
March 2025,rajasthan,tonk,1093,16897
March 2025,rajasthan,udaipur,2318,58055
March 2025,tamil nadu,ariyalur,511,7097
March 2025,tamil nadu,chengalpattu,308,2753
March 2025,tamil nadu,chennai,2515,28888
March 2025,tamil nadu,coimbatore,1929,24925
March 2025,tamil nadu,cuddalore,1129,21316
March 2025,tamil nadu,dharmapuri,868,10214
March 2025,tamil nadu,dindigul,1276,13938
March 2025,tamil nadu,erode,964,15860
March 2025,tamil nadu,kallakurichi,360,2296
March 2025,tamil nadu,kancheepuram,2708,33707
March 2025,tamil nadu,kanniyakumari,2665,17379
March 2025,tamil nadu,karur,299,4483
March 2025,tamil nadu,krishnagiri,1592,16002
March 2025,tamil nadu,madurai,2197,24984
March 2025,tamil nadu,mayiladuthurai,78,518
March 2025,tamil nadu,nagapattinam,200,3737
March 2025,tamil nadu,namakkal,675,8153
March 2025,tamil nadu,perambalur,248,2972
March 2025,tamil nadu,pudukkottai,782,11725
March 2025,tamil nadu,ramanathapuram,765,9136
March 2025,tamil nadu,ranipet,22,87
March 2025,tamil nadu,salem,2020,25828
March 2025,tamil nadu,sivaganga,559,5841
March 2025,tamil nadu,tenkasi,356,1933
March 2025,tamil nadu,thanjavur,1247,19276
March 2025,tamil nadu,the nilgiris,216,2308
March 2025,tamil nadu,theni,453,7467
March 2025,tamil nadu,thiruvallur,2896,33401
March 2025,tamil nadu,thiruvarur,433,6086
March 2025,tamil nadu,thoothukkudi,809,8492
March 2025,tamil nadu,tiruchirappalli,1393,15845
March 2025,tamil nadu,tirunelveli,2343,18957
March 2025,tamil nadu,tirupathur,275,1985
March 2025,tamil nadu,tiruppur,1481,16831
March 2025,tamil nadu,tiruvannamalai,972,15292
March 2025,tamil nadu,vellore,1267,17237
March 2025,tamil nadu,viluppuram,808,7226
March 2025,tamil nadu,virudhunagar,954,9015
March 2025,telangana,adilabad,1388,8140
March 2025,telangana,bhadradri kothagudem,1083,7541
March 2025,telangana,hanumakonda,377,3339
March 2025,telangana,hyderabad,5726,27917
March 2025,telangana,jagitial,585,2506
March 2025,telangana,jangoan,217,1838
March 2025,telangana,jayashankar bhupalapally,369,4758
March 2025,telangana,jogulamba gadwal,1940,4634
March 2025,telangana,kamareddy,702,2202
March 2025,telangana,karimnagar,3095,17598
March 2025,telangana,khammam,1381,11374
March 2025,telangana,mahabubabad,555,4091
March 2025,telangana,mahabubnagar,5748,16116
March 2025,telangana,mancherial,483,3732
March 2025,telangana,medak,2501,8887
March 2025,telangana,medchal malkajgiri,2745,14296
March 2025,telangana,mulugu,292,2680
March 2025,telangana,nagarkurnool,924,3771
March 2025,telangana,nalgonda,2928,15589
March 2025,telangana,narayanpet,387,1975
March 2025,telangana,nirmal,535,2546
March 2025,telangana,nizamabad,3492,13865
March 2025,telangana,peddapalli,116,1016
March 2025,telangana,rajanna sircilla,323,1869
March 2025,telangana,ranga reddy,139,1291
March 2025,telangana,sangareddy,1546,5717
March 2025,telangana,siddipet,995,3196
March 2025,telangana,suryapet,578,5294
March 2025,telangana,vikarabad,1011,3576
March 2025,telangana,wanaparthy,1151,5362
March 2025,telangana,warangal,1400,4982
March 2025,tripura,dhalai,228,3409
March 2025,tripura,gomati,428,3433
March 2025,tripura,khowai,58,825
March 2025,tripura,north tripura,339,3878
March 2025,tripura,sepahijala,201,3875
March 2025,tripura,south tripura,551,9691
March 2025,tripura,unakoti,170,654
March 2025,tripura,west tripura,677,11859
March 2025,uttar pradesh,agra,3075,31323
March 2025,uttar pradesh,aligarh,3209,43493
March 2025,uttar pradesh,ambedkar nagar,1731,19088
March 2025,uttar pradesh,amethi,1407,20455
March 2025,uttar pradesh,amroha,1126,18090
March 2025,uttar pradesh,auraiya,1351,15779
March 2025,uttar pradesh,ayodhya,498,4660
March 2025,uttar pradesh,azamgarh,3951,43297
March 2025,uttar pradesh,baghpat,1142,12118
March 2025,uttar pradesh,bahraich,1873,28463
March 2025,uttar pradesh,ballia,2357,25254
March 2025,uttar pradesh,balrampur,1246,21182
March 2025,uttar pradesh,banda,773,16638
March 2025,uttar pradesh,bara banki,1517,27371
March 2025,uttar pradesh,bareilly,3507,43031
March 2025,uttar pradesh,basti,1761,22039
March 2025,uttar pradesh,bhadohi,582,5527
March 2025,uttar pradesh,bijnor,2491,32448
March 2025,uttar pradesh,budaun,3400,53606
March 2025,uttar pradesh,bulandshahr,3371,34208
March 2025,uttar pradesh,chandauli,2398,25276
March 2025,uttar pradesh,chitrakoot,761,14521
March 2025,uttar pradesh,deoria,2215,25099
March 2025,uttar pradesh,etah,874,13275
March 2025,uttar pradesh,etawah,1007,11345
March 2025,uttar pradesh,farrukhabad,1094,16456
March 2025,uttar pradesh,fatehpur,1821,32439
March 2025,uttar pradesh,firozabad,1230,19481
March 2025,uttar pradesh,gautam buddha nagar,2558,21789
March 2025,uttar pradesh,ghaziabad,4532,48594
March 2025,uttar pradesh,ghazipur,4225,38708
March 2025,uttar pradesh,gonda,2309,40506
March 2025,uttar pradesh,gorakhpur,4752,44058
March 2025,uttar pradesh,hamirpur,514,10597
March 2025,uttar pradesh,hapur,685,7609
March 2025,uttar pradesh,hardoi,2141,39153
March 2025,uttar pradesh,hathras,1280,16626
March 2025,uttar pradesh,jalaun,736,16339
March 2025,uttar pradesh,jaunpur,3692,41667
March 2025,uttar pradesh,jhansi,1181,19456
March 2025,uttar pradesh,kannauj,1242,15118
March 2025,uttar pradesh,kanpur dehat,1569,23952
March 2025,uttar pradesh,kanpur nagar,2609,34198
March 2025,uttar pradesh,kasganj,678,9513
March 2025,uttar pradesh,kaushambi,1844,22196
March 2025,uttar pradesh,kheri,2781,61663
March 2025,uttar pradesh,kushinagar,5081,51097
March 2025,uttar pradesh,lalitpur,1009,14542
March 2025,uttar pradesh,lucknow,3206,35781
March 2025,uttar pradesh,mahoba,326,6632
March 2025,uttar pradesh,mahrajganj,2613,34402
March 2025,uttar pradesh,mainpuri,1453,21141
March 2025,uttar pradesh,mathura,2743,33126
March 2025,uttar pradesh,mau,2064,21144
March 2025,uttar pradesh,meerut,2831,39033
March 2025,uttar pradesh,mirzapur,1397,19969
March 2025,uttar pradesh,moradabad,2088,25403
March 2025,uttar pradesh,muzaffarnagar,2290,25940
March 2025,uttar pradesh,pilibhit,2086,30504
March 2025,uttar pradesh,pratapgarh,2030,29300
March 2025,uttar pradesh,prayagraj,875,7858
March 2025,uttar pradesh,rae bareli,2304,31162
March 2025,uttar pradesh,rampur,1831,21967
March 2025,uttar pradesh,saharanpur,2099,27065
March 2025,uttar pradesh,sambhal,1659,30002
March 2025,uttar pradesh,sant kabir nagar,2229,27700
