month,state_norm,district_resolved,age_0_5,age_5_17,age_18_greater
April 2025,west bengal,kolkata,21,10,23
April 2025,west bengal,malda,306,80,10
April 2025,west bengal,nadia,204,33,11
April 2025,west bengal,north parganas,126,67,39
April 2025,west bengal,uttar dinajpur,1264,333,116
May 2025,assam,baksa,37,25,20
May 2025,assam,barpeta,90,83,10
May 2025,assam,bongaigaon,110,41,15
May 2025,assam,charaideo,29,11,10
May 2025,assam,darrang,87,53,308
May 2025,assam,dhemaji,264,174,153
May 2025,assam,dibrugarh,140,95,149
May 2025,assam,goalpara,412,253,116
May 2025,assam,golaghat,807,826,230
May 2025,assam,jorhat,17,24,13
May 2025,assam,kamrup,813,580,264
May 2025,assam,kamrup metro,67,42,53
May 2025,assam,karbi anglong,446,1537,175
May 2025,assam,kokrajhar,249,237,32
May 2025,assam,lakhimpur,404,216,127
May 2025,assam,marigaon,130,219,29
May 2025,assam,nalbari,134,75,37
May 2025,assam,sonitpur,55,160,38
May 2025,assam,tinsukia,213,216,171
May 2025,assam,udalguri,221,162,164
May 2025,assam,west karbi anglong,39,216,11
May 2025,bihar,arwal,43,156,10
May 2025,bihar,bhagalpur,1500,1363,85
May 2025,bihar,gaya,452,1796,69
May 2025,bihar,gopalganj,385,495,27
May 2025,bihar,jamui,245,292,13
May 2025,bihar,kaimur bhabua,273,642,22
May 2025,bihar,katihar,270,215,10
May 2025,bihar,madhubani,874,995,102
May 2025,bihar,muzaffarpur,2161,2046,159
May 2025,bihar,patna,105,347,22
May 2025,bihar,saharsa,334,295,13
May 2025,bihar,sitamarhi,2961,2387,348
May 2025,bihar,siwan,269,384,12
May 2025,chhattisgarh,bijapur,275,180,155
May 2025,chhattisgarh,sukma,178,55,19
May 2025,delhi,shahdara,66,47,20
May 2025,gujarat,ahmedabad,756,347,97
May 2025,gujarat,anand,111,22,10
May 2025,gujarat,banas kantha,1146,724,178
May 2025,gujarat,bharuch,303,69,23
May 2025,gujarat,chhotaudepur,127,61,28
May 2025,gujarat,dahod,710,717,653
May 2025,gujarat,devbhumi dwarka,167,26,23
May 2025,gujarat,gandhinagar,251,28,16
May 2025,gujarat,gir somnath,181,53,26
May 2025,gujarat,jamnagar,410,77,67
May 2025,gujarat,kachchh,59,79,12
May 2025,gujarat,kheda,89,18,33
May 2025,gujarat,mahesana,178,26,13
May 2025,gujarat,morbi,389,88,46
May 2025,gujarat,navsari,122,21,15
May 2025,gujarat,patan,225,53,25
May 2025,gujarat,rajkot,1375,312,221
May 2025,gujarat,surat,1396,542,48
May 2025,gujarat,vadodara,158,78,10
May 2025,gujarat,valsad,277,101,20
May 2025,haryana,faridabad,1358,311,32
May 2025,jammu and kashmir,baramulla,136,39,12
May 2025,jammu and kashmir,jammu,55,16,10
May 2025,kerala,kollam,34,12,10
May 2025,kerala,malappuram,135,121,10
May 2025,kerala,thiruvananthapuram,32,15,11
May 2025,madhya pradesh,alirajpur,66,42,25
May 2025,madhya pradesh,ashoknagar,161,40,19
May 2025,madhya pradesh,barwani,2114,1005,55
May 2025,madhya pradesh,bhind,670,238,48
May 2025,madhya pradesh,burhanpur,724,179,29
May 2025,madhya pradesh,chhatarpur,394,313,30
May 2025,madhya pradesh,dewas,518,87,17
May 2025,madhya pradesh,gwalior,338,108,18
May 2025,madhya pradesh,indore,519,111,18
May 2025,madhya pradesh,jhabua,308,316,10
May 2025,madhya pradesh,morena,709,313,44
May 2025,madhya pradesh,panna,140,71,13
May 2025,madhya pradesh,vidisha,209,43,15
May 2025,maharashtra,beed,366,63,15
May 2025,maharashtra,dhule,118,46,18
May 2025,maharashtra,hingoli,246,31,34
May 2025,maharashtra,jalgaon,506,92,43
May 2025,maharashtra,mumbai suburban,882,457,230
May 2025,maharashtra,nagpur,243,28,22
May 2025,maharashtra,nanded,383,80,39
May 2025,maharashtra,nandurbar,251,134,21
May 2025,maharashtra,nashik,97,14,45
May 2025,maharashtra,palghar,162,155,14
May 2025,maharashtra,parbhani,425,90,32
May 2025,maharashtra,pune,328,97,61
May 2025,maharashtra,sangli,160,45,20
May 2025,maharashtra,satara,150,32,10
May 2025,maharashtra,solapur,473,97,51
May 2025,maharashtra,thane,1437,799,96
May 2025,maharashtra,washim,198,20,10
May 2025,maharashtra,yavatmal,281,72,30
May 2025,manipur,bishnupur,76,79,30
May 2025,manipur,imphal west,44,37,25
May 2025,meghalaya,east garo hills,180,448,267
May 2025,meghalaya,east jaintia hills,125,248,256
May 2025,meghalaya,east khasi hills,768,2259,1867
May 2025,meghalaya,north garo hills,65,168,91
May 2025,meghalaya,ri bhoi,243,733,633
May 2025,meghalaya,south garo hills,105,388,192
May 2025,meghalaya,south west garo hills,392,240,167
May 2025,meghalaya,south west khasi hills,135,192,200
May 2025,meghalaya,west garo hills,683,994,708
May 2025,meghalaya,west jaintia hills,558,909,734
May 2025,meghalaya,west khasi hills,406,1103,923
May 2025,mizoram,lawngtlai,280,62,29
May 2025,mizoram,lunglei,136,31,16
May 2025,nagaland,dimapur,155,207,22
May 2025,nagaland,peren,148,119,15
May 2025,punjab,amritsar,664,284,26
May 2025,punjab,gurdaspur,114,20,13
May 2025,punjab,hoshiarpur,197,48,18
May 2025,punjab,kapurthala,233,67,96
May 2025,punjab,ludhiana,876,458,49
May 2025,punjab,patiala,456,125,23
May 2025,rajasthan,alwar,610,179,10
May 2025,rajasthan,bikaner,421,164,20
May 2025,rajasthan,jaipur,120,70,10
May 2025,rajasthan,jodhpur,595,190,15
May 2025,rajasthan,sirohi,246,301,10
May 2025,tamil nadu,coimbatore,59,19,11
May 2025,tamil nadu,cuddalore,120,11,10
May 2025,tamil nadu,pudukkottai,143,34,13
May 2025,telangana,hyderabad,736,154,21
May 2025,uttar pradesh,agra,1550,967,60
May 2025,uttar pradesh,aligarh,1564,1159,103
May 2025,uttar pradesh,bahraich,1485,1891,193
May 2025,uttar pradesh,banda,730,804,70
May 2025,uttar pradesh,bareilly,1306,574,49
May 2025,uttar pradesh,bijnor,1351,432,39
May 2025,uttar pradesh,budaun,222,228,11
May 2025,uttar pradesh,chandauli,214,191,14
May 2025,uttar pradesh,deoria,384,503,20
May 2025,uttar pradesh,etah,1092,457,48
May 2025,uttar pradesh,fatehpur,274,224,11
May 2025,uttar pradesh,gautam buddha nagar,867,915,52
May 2025,uttar pradesh,ghaziabad,882,747,37
May 2025,uttar pradesh,gorakhpur,129,352,41
May 2025,uttar pradesh,hapur,681,450,11
May 2025,uttar pradesh,hathras,478,319,11
May 2025,uttar pradesh,kanpur nagar,835,854,57
May 2025,uttar pradesh,kheri,832,687,33
May 2025,uttar pradesh,kushinagar,170,229,10
May 2025,uttar pradesh,lalitpur,138,71,10
May 2025,uttar pradesh,lucknow,608,560,48
May 2025,uttar pradesh,mahrajganj,500,791,40
May 2025,uttar pradesh,meerut,1663,1146,38
May 2025,uttar pradesh,moradabad,1673,793,79
May 2025,uttar pradesh,pilibhit,1367,640,21
May 2025,uttar pradesh,prayagraj,23,45,19
May 2025,uttar pradesh,rampur,1304,700,27
May 2025,uttar pradesh,shahjahanpur,1274,987,51
May 2025,uttar pradesh,shrawasti,279,445,28
May 2025,uttar pradesh,siddharthnagar,603,1073,47
May 2025,uttar pradesh,sitapur,802,540,31
May 2025,uttar pradesh,sultanpur,209,205,10
May 2025,uttar pradesh,unnao,865,726,37
May 2025,uttar pradesh,varanasi,574,849,23
May 2025,uttarakhand,dehradun,477,135,12
May 2025,west bengal,alipurduar,42,112,43
May 2025,west bengal,birbhum,204,61,13
May 2025,west bengal,cooch behar,991,606,77
May 2025,west bengal,dakshin dinajpur,179,42,14
May 2025,west bengal,darjeeling,297,223,78
May 2025,west bengal,jalpaiguri,493,413,74
May 2025,west bengal,kalimpong,12,39,27
May 2025,west bengal,kolkata,247,222,34
May 2025,west bengal,nadia,478,108,50
May 2025,west bengal,north parganas,494,195,37
May 2025,west bengal,uttar dinajpur,2101,1479,97
June 2025,andhra pradesh,visakhapatnam,186,28,12
June 2025,assam,baksa,28,12,12
June 2025,assam,barpeta,699,376,104
June 2025,assam,bongaigaon,33,14,14
June 2025,assam,cachar,847,584,201
June 2025,assam,darrang,63,25,10
June 2025,assam,dhemaji,135,126,55
June 2025,assam,dhubri,323,198,24
June 2025,assam,dibrugarh,413,127,134
June 2025,assam,dima hasao,33,28,10
June 2025,assam,goalpara,17,43,20
June 2025,assam,golaghat,561,502,202
June 2025,assam,hojai,277,76,11
June 2025,assam,jorhat,24,19,13
June 2025,assam,kamrup,133,51,23
June 2025,assam,kamrup metro,55,54,65
June 2025,assam,kokrajhar,155,115,17
June 2025,assam,lakhimpur,207,181,63
June 2025,assam,marigaon,412,250,118
June 2025,assam,nagaon,24,67,65
June 2025,assam,sivasagar,37,33,10
June 2025,assam,sonitpur,97,110,77
June 2025,assam,west karbi anglong,52,133,110
June 2025,bihar,araria,850,787,39
June 2025,bihar,banka,397,542,36
June 2025,bihar,bhagalpur,1407,2293,150
June 2025,bihar,darbhanga,255,183,10
June 2025,bihar,gaya,515,1341,37
June 2025,bihar,gopalganj,577,1145,51
June 2025,bihar,jamui,323,426,23
June 2025,bihar,kaimur bhabua,165,536,10
June 2025,bihar,katihar,488,463,34
June 2025,bihar,lakhisarai,298,478,10
June 2025,bihar,madhubani,876,1379,170
June 2025,bihar,munger,117,279,10
June 2025,bihar,muzaffarpur,1562,2080,140
June 2025,bihar,nalanda,307,1153,37
June 2025,bihar,pashchim champaran,1969,4299,239
June 2025,bihar,patna,320,1009,38
June 2025,bihar,purbi champaran,1549,4314,335
June 2025,bihar,purnia,620,741,57
June 2025,bihar,saharsa,319,487,20
June 2025,bihar,saran,222,864,25
June 2025,bihar,sitamarhi,2839,3126,511
June 2025,bihar,siwan,185,298,21
June 2025,chhattisgarh,bijapur,205,254,173
June 2025,chhattisgarh,gaurela pendra marwahi,403,185,43
June 2025,delhi,new delhi,212,100,51
June 2025,gujarat,ahmedabad,685,480,60
June 2025,gujarat,anand,148,57,24
June 2025,gujarat,banas kantha,1459,1675,156
June 2025,gujarat,bhavnagar,189,39,11
June 2025,gujarat,botad,289,64,11
June 2025,gujarat,chhotaudepur,97,34,10
June 2025,gujarat,dangs,222,72,70
June 2025,gujarat,gandhinagar,204,67,41
June 2025,gujarat,kachchh,73,49,11
June 2025,gujarat,mahisagar,106,37,18
June 2025,gujarat,morbi,777,366,26
June 2025,gujarat,patan,207,80,11
June 2025,gujarat,porbandar,209,57,11
June 2025,gujarat,rajkot,114,194,16
June 2025,gujarat,vadodara,334,139,37
June 2025,haryana,ambala,245,23,13
June 2025,haryana,faridabad,1698,483,83
June 2025,haryana,gurugram,534,207,81
June 2025,haryana,hisar,350,46,10
June 2025,haryana,kaithal,406,19,10
June 2025,haryana,kurukshetra,72,10,11
June 2025,haryana,nuh,1251,213,42
June 2025,haryana,panipat,776,87,14
June 2025,haryana,rohtak,420,56,52
June 2025,haryana,sonipat,360,46,23
June 2025,jharkhand,chatra,246,218,10
June 2025,jharkhand,dumka,74,110,14
June 2025,jharkhand,gumla,228,131,10
June 2025,jharkhand,khunti,91,148,11
June 2025,jharkhand,lohardaga,165,174,21
June 2025,jharkhand,pakur,501,590,16
June 2025,jharkhand,ranchi,259,273,34
June 2025,karnataka,bengaluru rural,511,312,311
June 2025,karnataka,bengaluru urban,5062,3223,1838
June 2025,karnataka,raichur,290,127,11
June 2025,kerala,ernakulam,70,58,11
June 2025,kerala,thrissur,15,22,10
June 2025,madhya pradesh,alirajpur,376,586,84
June 2025,madhya pradesh,ashoknagar,437,408,23
June 2025,madhya pradesh,barwani,1067,1106,60
June 2025,madhya pradesh,bhind,507,328,50
June 2025,madhya pradesh,bhopal,690,115,28
June 2025,madhya pradesh,burhanpur,1142,574,61
June 2025,madhya pradesh,chhatarpur,272,401,41
June 2025,madhya pradesh,dhar,892,570,65
June 2025,madhya pradesh,gwalior,1064,789,77
June 2025,madhya pradesh,indore,411,138,12
June 2025,madhya pradesh,jhabua,261,628,10
June 2025,madhya pradesh,katni,195,88,10
June 2025,madhya pradesh,morena,1327,872,70
June 2025,madhya pradesh,sagar,131,53,17
June 2025,madhya pradesh,sheopur,368,430,11
June 2025,madhya pradesh,shivpuri,326,430,27
June 2025,maharashtra,amravati,280,77,11
June 2025,maharashtra,beed,659,294,46
June 2025,maharashtra,buldhana,306,51,11
June 2025,maharashtra,chandrapur,198,24,10
June 2025,maharashtra,dhule,793,484,211
June 2025,maharashtra,hingoli,261,62,14
June 2025,maharashtra,latur,390,140,15
June 2025,maharashtra,nanded,432,124,28
June 2025,maharashtra,palghar,252,252,10
June 2025,maharashtra,pune,142,83,11
June 2025,maharashtra,sangli,240,105,11
June 2025,maharashtra,satara,136,55,10
June 2025,maharashtra,thane,2432,1767,222
June 2025,manipur,churachandpur,91,499,13
June 2025,meghalaya,east garo hills,70,469,341
June 2025,meghalaya,east jaintia hills,96,414,308
June 2025,meghalaya,east khasi hills,287,1875,978
June 2025,meghalaya,ri bhoi,69,398,316
June 2025,meghalaya,south garo hills,42,197,312
June 2025,meghalaya,south west garo hills,264,209,145
June 2025,meghalaya,south west khasi hills,54,184,146
June 2025,meghalaya,west garo hills,521,992,854
June 2025,meghalaya,west jaintia hills,192,1017,634
June 2025,meghalaya,west khasi hills,129,1296,752
June 2025,mizoram,champhai,86,26,26
June 2025,mizoram,lawngtlai,119,43,11
June 2025,nagaland,dimapur,105,240,32
June 2025,nagaland,mon,39,121,14
June 2025,nagaland,peren,37,141,10
June 2025,punjab,hoshiarpur,234,59,20
June 2025,punjab,kapurthala,182,67,68
June 2025,punjab,ludhiana,1095,645,90
June 2025,punjab,s a s nagar,193,75,14
June 2025,rajasthan,alwar,670,240,13
June 2025,rajasthan,barmer,684,259,10
June 2025,rajasthan,bhilwara,430,117,20
June 2025,rajasthan,bikaner,721,539,33
June 2025,rajasthan,churu,253,269,13
June 2025,rajasthan,jaisalmer,46,74,14
June 2025,rajasthan,jodhpur,520,204,27
June 2025,rajasthan,nagaur,554,363,10
June 2025,rajasthan,sirohi,216,289,28
June 2025,tamil nadu,kallakurichi,165,55,23
June 2025,tamil nadu,kancheepuram,264,76,11
June 2025,tamil nadu,madurai,62,14,12
June 2025,tamil nadu,ramanathapuram,92,38,22
June 2025,tamil nadu,salem,335,95,64
June 2025,tamil nadu,sivaganga,70,13,10
June 2025,tamil nadu,vellore,367,102,41
