month,state_norm,district_resolved,bio_age_5_17,bio_age_17_
March 2025,assam,hailakandi,355,439
March 2025,assam,hojai,1585,1239
March 2025,assam,jorhat,867,571
March 2025,assam,kamrup,2602,1197
March 2025,assam,kamrup metro,1936,1525
March 2025,assam,karbi anglong,1984,1047
March 2025,assam,kokrajhar,3407,873
March 2025,assam,lakhimpur,1470,1353
March 2025,assam,majuli,343,101
March 2025,assam,marigaon,2305,1218
March 2025,assam,nagaon,3208,5081
March 2025,assam,nalbari,2028,335
March 2025,assam,sonitpur,1830,1158
March 2025,assam,south salmara mancachar,249,133
March 2025,assam,tinsukia,1135,846
March 2025,assam,udalguri,2332,951
March 2025,assam,west karbi anglong,76,159
March 2025,bihar,araria,13043,13990
March 2025,bihar,arwal,1438,3294
March 2025,bihar,aurangabad,6082,7741
March 2025,bihar,banka,6904,7892
March 2025,bihar,begusarai,13077,12307
March 2025,bihar,bhagalpur,13344,11954
March 2025,bihar,bhojpur,5124,12146
March 2025,bihar,buxar,3200,5001
March 2025,bihar,darbhanga,13331,17721
March 2025,bihar,gaya,16486,21241
March 2025,bihar,gopalganj,6451,7603
March 2025,bihar,jamui,6531,6134
March 2025,bihar,jehanabad,2391,4017
March 2025,bihar,kaimur bhabua,6479,7450
March 2025,bihar,katihar,16676,16958
March 2025,bihar,khagaria,6128,6877
March 2025,bihar,kishanganj,7612,8682
March 2025,bihar,lakhisarai,3715,3972
March 2025,bihar,madhepura,6355,11462
March 2025,bihar,madhubani,16996,20887
March 2025,bihar,munger,3099,4705
March 2025,bihar,muzaffarpur,13651,18161
March 2025,bihar,nalanda,6154,11926
March 2025,bihar,nawada,6780,9577
March 2025,bihar,patna,11916,18174
March 2025,bihar,purnia,13497,17552
March 2025,bihar,rohtas,7472,9366
March 2025,bihar,saharsa,6272,12430
March 2025,bihar,samastipur,13667,19484
March 2025,bihar,saran,7779,13089
March 2025,bihar,sheikhpura,1885,3455
March 2025,bihar,sheohar,1803,3248
March 2025,bihar,sitamarhi,11896,16604
March 2025,bihar,siwan,6752,10438
March 2025,bihar,supaul,6821,11721
March 2025,bihar,vaishali,9704,16175
March 2025,chandigarh,chandigarh,3053,3377
March 2025,chhattisgarh,balod,982,4832
March 2025,chhattisgarh,bastar,990,4272
March 2025,chhattisgarh,bemetara,1030,7139
March 2025,chhattisgarh,bijapur,1452,1742
March 2025,chhattisgarh,bilaspur,2414,9589
March 2025,chhattisgarh,dakshin bastar dantewada,439,1084
March 2025,chhattisgarh,dhamtari,748,5784
March 2025,chhattisgarh,durg,2548,10749
March 2025,chhattisgarh,gariyaband,471,1694
March 2025,chhattisgarh,gaurela pendra marwahi,11,105
March 2025,chhattisgarh,janjgir champa,2728,10158
March 2025,chhattisgarh,jashpur,823,3469
March 2025,chhattisgarh,kabeerdham,407,1250
March 2025,chhattisgarh,kondagaon,472,2224
March 2025,chhattisgarh,korba,5729,6814
March 2025,chhattisgarh,mahasamund,1257,5727
March 2025,chhattisgarh,mohla manpur ambagarh chouki,22,123
March 2025,chhattisgarh,mungeli,936,2497
March 2025,chhattisgarh,narayanpur,504,1544
March 2025,chhattisgarh,raigarh,2241,7408
March 2025,chhattisgarh,raipur,2737,9682
March 2025,chhattisgarh,rajnandgaon,1554,9521
March 2025,chhattisgarh,sakti,10,49
March 2025,chhattisgarh,sukma,398,1033
March 2025,chhattisgarh,surajpur,741,4336
March 2025,chhattisgarh,surguja,981,3883
March 2025,chhattisgarh,uttar bastar kanker,181,1236
March 2025,delhi,new delhi,392,294
March 2025,delhi,north east,238,4421
March 2025,delhi,shahdara,252,658
March 2025,goa,north goa,1883,2559
March 2025,goa,south goa,2154,2387
March 2025,gujarat,ahmedabad,19152,30017
March 2025,gujarat,amreli,3463,3849
March 2025,gujarat,anand,5698,8373
March 2025,gujarat,arvalli,1595,1109
March 2025,gujarat,banas kantha,8364,10340
March 2025,gujarat,bharuch,4757,5176
March 2025,gujarat,bhavnagar,7812,10258
March 2025,gujarat,botad,1347,831
March 2025,gujarat,chhotaudepur,1551,1799
March 2025,gujarat,dahod,6531,7658
March 2025,gujarat,devbhumi dwarka,1829,932
March 2025,gujarat,gandhinagar,4273,5905
March 2025,gujarat,gir somnath,2574,1707
March 2025,gujarat,jamnagar,4794,5215
March 2025,gujarat,junagadh,3500,8433
March 2025,gujarat,kachchh,9380,6902
March 2025,gujarat,kheda,6929,10058
March 2025,gujarat,mahesana,5066,7773
March 2025,gujarat,mahisagar,1999,1808
March 2025,gujarat,morbi,2220,1289
March 2025,gujarat,narmada,2020,4588
March 2025,gujarat,navsari,2369,2679
March 2025,gujarat,patan,3086,4716
March 2025,gujarat,porbandar,1770,2266
March 2025,gujarat,rajkot,9086,10727
March 2025,gujarat,surat,15243,18852
March 2025,gujarat,tapi,1872,3805
March 2025,gujarat,vadodara,7894,17180
March 2025,gujarat,valsad,4860,6790
March 2025,haryana,ambala,2853,6773
March 2025,haryana,bhiwani,4091,8113
March 2025,haryana,charkhi dadri,238,857
March 2025,haryana,faridabad,5798,8083
March 2025,haryana,fatehabad,3580,6150
March 2025,haryana,hisar,4202,7560
March 2025,haryana,jhajjar,2471,3813
March 2025,haryana,jind,3562,7112
March 2025,haryana,kaithal,3091,6501
March 2025,haryana,karnal,3424,8201
March 2025,haryana,kurukshetra,2920,6507
March 2025,haryana,mahendragarh,1721,3292
March 2025,haryana,palwal,2662,3033
March 2025,haryana,panchkula,1692,2763
March 2025,haryana,panipat,3293,6275
March 2025,haryana,rewari,2125,3098
March 2025,haryana,rohtak,2767,7186
March 2025,haryana,sirsa,4013,7036
March 2025,haryana,sonipat,3831,6795
March 2025,haryana,yamunanagar,14,90
March 2025,himachal pradesh,bilaspur,1055,1907
March 2025,himachal pradesh,chamba,1764,3313
March 2025,himachal pradesh,hamirpur,1325,2008
March 2025,himachal pradesh,kangra,5235,7358
March 2025,himachal pradesh,kinnaur,145,250
March 2025,himachal pradesh,kullu,1231,1459
March 2025,himachal pradesh,mandi,3777,4936
March 2025,himachal pradesh,shimla,2185,2872
March 2025,himachal pradesh,sirmaur,2804,3382
March 2025,himachal pradesh,solan,1705,2383
March 2025,himachal pradesh,una,1841,2517
March 2025,jammu and kashmir,anantnag,2053,3228
March 2025,jammu and kashmir,bandipora,866,1736
March 2025,jammu and kashmir,baramulla,2703,5195
March 2025,jammu and kashmir,budgam,1447,949
March 2025,jammu and kashmir,doda,1793,2846
March 2025,jammu and kashmir,ganderbal,668,1163
March 2025,jammu and kashmir,jammu,3883,7915
March 2025,jammu and kashmir,kathua,1736,2985
March 2025,jammu and kashmir,kishtwar,1049,1570
March 2025,jammu and kashmir,kulgam,1420,2071
March 2025,jammu and kashmir,kupwara,1999,3376
March 2025,jammu and kashmir,pulwama,885,1881
March 2025,jammu and kashmir,rajouri,2947,5630
March 2025,jammu and kashmir,ramban,1146,1352
March 2025,jammu and kashmir,reasi,1251,2395
March 2025,jammu and kashmir,samba,529,825
March 2025,jammu and kashmir,srinagar,1965,5087
March 2025,jammu and kashmir,udhampur,3126,4770
March 2025,jharkhand,bokaro,3629,8264
March 2025,jharkhand,chatra,5091,7042
March 2025,jharkhand,deoghar,5230,5790
March 2025,jharkhand,dhanbad,7080,17070
March 2025,jharkhand,dumka,8376,6943
March 2025,jharkhand,east singhbum,10278,11606
March 2025,jharkhand,garhwa,7022,11269
March 2025,jharkhand,giridih,8203,10019
March 2025,jharkhand,godda,8171,6322
March 2025,jharkhand,gumla,3986,6975
March 2025,jharkhand,hazaribagh,6478,6179
March 2025,jharkhand,jamtara,2625,3787
March 2025,jharkhand,khunti,2118,3257
March 2025,jharkhand,koderma,3159,4050
March 2025,jharkhand,latehar,4341,3293
March 2025,jharkhand,lohardaga,2355,4669
March 2025,jharkhand,pakur,4334,3333
March 2025,jharkhand,palamu,9530,10780
March 2025,jharkhand,ramgarh,2636,2897
March 2025,jharkhand,ranchi,11510,23635
March 2025,jharkhand,sahebganj,6318,5442
March 2025,jharkhand,saraikela kharsawan,4741,5948
March 2025,jharkhand,simdega,2855,5188
March 2025,jharkhand,west singhbhum,11055,9473
March 2025,karnataka,bagalkote,5713,4924
March 2025,karnataka,ballari,2984,1625
March 2025,karnataka,belagavi,6453,3871
March 2025,karnataka,bidar,3330,5333
March 2025,karnataka,chamarajanagar,1097,1583
March 2025,karnataka,chikkaballapura,3015,2627
March 2025,karnataka,chikkamagaluru,842,971
March 2025,karnataka,chitradurga,2547,4326
March 2025,karnataka,dakshina kannada,2780,5479
March 2025,karnataka,davanagere,5280,6814
March 2025,karnataka,dharwad,6422,7178
March 2025,karnataka,gadag,3239,2333
March 2025,karnataka,hassan,3078,3312
March 2025,karnataka,haveri,7162,3795
March 2025,karnataka,kalaburagi,4847,3255
March 2025,karnataka,kodagu,677,1164
March 2025,karnataka,kolar,3153,4871
March 2025,karnataka,koppal,3016,3348
March 2025,karnataka,mandya,2412,4580
March 2025,karnataka,mysuru,2850,3420
March 2025,karnataka,raichur,4424,6106
March 2025,karnataka,shivamogga,1755,1463
March 2025,karnataka,tumakuru,3991,7754
March 2025,karnataka,udupi,1579,1759
March 2025,karnataka,uttara kannada,2057,2476
March 2025,karnataka,vijayanagara,854,1314
March 2025,karnataka,vijayapura,4798,2429
March 2025,karnataka,yadgir,3545,3702
March 2025,kerala,alappuzha,3226,6251
March 2025,kerala,ernakulam,5737,11380
March 2025,kerala,idukki,1958,3567
March 2025,kerala,kannur,4097,6968
March 2025,kerala,kasaragod,3286,3560
March 2025,kerala,kollam,4871,8548
March 2025,kerala,kottayam,2277,4982
March 2025,kerala,kozhikode,5544,7757
March 2025,kerala,malappuram,10776,12728
March 2025,kerala,palakkad,8738,11823
March 2025,kerala,pathanamthitta,1645,4606
March 2025,kerala,thiruvananthapuram,6652,11037
March 2025,kerala,thrissur,7177,9335
March 2025,kerala,wayanad,1262,2937
March 2025,ladakh,kargil,277,243
March 2025,madhya pradesh,agar malwa,619,1070
March 2025,madhya pradesh,alirajpur,1527,3407
March 2025,madhya pradesh,anuppur,2298,5334
March 2025,madhya pradesh,ashoknagar,4292,4547
March 2025,madhya pradesh,balaghat,6402,8235
March 2025,madhya pradesh,barwani,7982,9951
March 2025,madhya pradesh,betul,3867,10755
March 2025,madhya pradesh,bhind,4405,3388
March 2025,madhya pradesh,bhopal,7463,9049
March 2025,madhya pradesh,burhanpur,2197,3534
March 2025,madhya pradesh,chhatarpur,9711,11673
March 2025,madhya pradesh,chhindwara,3694,10171
March 2025,madhya pradesh,damoh,7936,12055
March 2025,madhya pradesh,datia,2230,2509
March 2025,madhya pradesh,dewas,3249,6322
March 2025,madhya pradesh,dhar,6968,9976
March 2025,madhya pradesh,dindori,2267,4844
March 2025,madhya pradesh,guna,8594,5775
March 2025,madhya pradesh,gwalior,7276,7161
March 2025,madhya pradesh,harda,2707,3422
March 2025,madhya pradesh,indore,11298,10515
March 2025,madhya pradesh,jabalpur,6187,7925
March 2025,madhya pradesh,jhabua,2387,6541
March 2025,madhya pradesh,katni,3239,8903
March 2025,madhya pradesh,mandla,3181,4150
March 2025,madhya pradesh,mandsaur,5021,6824
March 2025,madhya pradesh,morena,13912,6993
March 2025,madhya pradesh,narmadapuram,167,686
March 2025,madhya pradesh,narsimhapur,135,552
March 2025,madhya pradesh,neemuch,2497,2092
March 2025,madhya pradesh,niwari,158,132
March 2025,madhya pradesh,panna,4877,8614
March 2025,madhya pradesh,raisen,3285,5491
March 2025,madhya pradesh,rajgarh,10071,14023
March 2025,madhya pradesh,ratlam,4993,5623
March 2025,madhya pradesh,rewa,13084,10964
March 2025,madhya pradesh,sagar,10882,12949
March 2025,madhya pradesh,satna,7162,11270
March 2025,madhya pradesh,sehore,4438,8568
March 2025,madhya pradesh,seoni,5711,5702
March 2025,madhya pradesh,shahdol,3159,7894
March 2025,madhya pradesh,shajapur,7862,8321
March 2025,madhya pradesh,sheopur,3043,3816
March 2025,madhya pradesh,shivpuri,9627,7104
March 2025,madhya pradesh,sidhi,12873,7426
March 2025,madhya pradesh,singrauli,9011,6282
March 2025,madhya pradesh,tikamgarh,9269,13144
March 2025,madhya pradesh,ujjain,5583,6762
March 2025,madhya pradesh,umaria,1403,3187
March 2025,madhya pradesh,vidisha,5177,5933
March 2025,maharashtra,akola,5799,19830
March 2025,maharashtra,amravati,9464,30849
March 2025,maharashtra,beed,8159,16280
March 2025,maharashtra,bhandara,2521,8744
March 2025,maharashtra,buldhana,6890,16501
March 2025,maharashtra,chandrapur,7293,17284
March 2025,maharashtra,chhatrapati sambhajinagar,31,156
March 2025,maharashtra,dhule,5157,14043
March 2025,maharashtra,gadchiroli,2665,9929
March 2025,maharashtra,gondia,4074,7263
March 2025,maharashtra,hingoli,2200,5880
March 2025,maharashtra,jalgaon,11108,29512
March 2025,maharashtra,jalna,5388,11402
March 2025,maharashtra,kolhapur,9588,18096
March 2025,maharashtra,latur,9558,19388
March 2025,maharashtra,mumbai,7636,31432
March 2025,maharashtra,mumbai suburban,7347,9473
March 2025,maharashtra,nagpur,11511,30242
March 2025,maharashtra,nanded,14793,23918
March 2025,maharashtra,nandurbar,5201,12240
March 2025,maharashtra,nashik,19311,43604
March 2025,maharashtra,palghar,7288,7628
March 2025,maharashtra,parbhani,9812,10952
March 2025,maharashtra,pune,23546,42545
March 2025,maharashtra,raigad,254,1097
March 2025,maharashtra,ratnagiri,3235,8969
March 2025,maharashtra,sangli,9383,16901
March 2025,maharashtra,satara,8173,14177
March 2025,maharashtra,sindhudurg,1903,3624
March 2025,maharashtra,solapur,13276,22111
March 2025,maharashtra,thane,13203,38556
March 2025,maharashtra,wardha,4565,10487
March 2025,maharashtra,washim,4056,10181
March 2025,maharashtra,yavatmal,10207,28222
March 2025,manipur,bishnupur,524,607
March 2025,manipur,chandel,249,895
March 2025,manipur,churachandpur,796,866
March 2025,manipur,imphal east,1000,1623
March 2025,manipur,imphal west,906,1352
March 2025,manipur,jiribam,20,229
March 2025,manipur,kakching,49,30
March 2025,manipur,senapati,722,1183
March 2025,manipur,tamenglong,180,364
March 2025,manipur,thoubal,1039,1297
March 2025,manipur,ukhrul,376,1359
March 2025,meghalaya,east garo hills,75,363
March 2025,meghalaya,east jaintia hills,136,90
March 2025,meghalaya,east khasi hills,840,1744
March 2025,meghalaya,north garo hills,79,75
March 2025,meghalaya,ri bhoi,213,213
March 2025,meghalaya,south garo hills,44,92
March 2025,meghalaya,south west garo hills,159,623
March 2025,meghalaya,south west khasi hills,168,434
March 2025,meghalaya,west garo hills,917,3902
March 2025,meghalaya,west jaintia hills,596,335
March 2025,meghalaya,west khasi hills,327,392
March 2025,mizoram,aizawl,12080,3703
March 2025,mizoram,champhai,6324,1528
March 2025,mizoram,kolasib,3984,962
March 2025,mizoram,lawngtlai,3058,915
March 2025,mizoram,lunglei,4383,1393
March 2025,mizoram,mamit,4922,1050
March 2025,mizoram,saitual,11,16
March 2025,mizoram,serchhip,3036,1087
March 2025,nagaland,dimapur,1135,2360
March 2025,nagaland,kiphire,173,388
March 2025,nagaland,kohima,298,1799
March 2025,nagaland,longleng,98,398
March 2025,nagaland,mokokchung,161,533
March 2025,nagaland,mon,652,1189
March 2025,nagaland,niuland,14,46
March 2025,nagaland,noklak,16,59
March 2025,nagaland,peren,256,488
March 2025,nagaland,phek,147,1487
March 2025,nagaland,tseminyu,13,46
March 2025,nagaland,tuensang,285,793
March 2025,nagaland,wokha,246,1146
March 2025,nagaland,zunheboto,159,1508
March 2025,odisha,angul,2780,5034
March 2025,odisha,balangir,4017,8197
March 2025,odisha,bargarh,3647,7630
March 2025,odisha,bhadrak,3931,6830
March 2025,odisha,boudh,1077,2317
March 2025,odisha,cuttack,5048,11464
March 2025,odisha,dhenkanal,4187,7396
March 2025,odisha,gajapati,2775,6864
March 2025,odisha,ganjam,8590,14760
March 2025,odisha,jagatsinghapur,1928,5018
March 2025,odisha,jajpur,4508,8270
March 2025,odisha,jharsuguda,1279,1994
March 2025,odisha,kalahandi,5546,11235
March 2025,odisha,kandhamal,3687,6796
March 2025,odisha,kendrapara,4036,7247
March 2025,odisha,khordha,4708,8079
March 2025,odisha,koraput,7919,12295
March 2025,odisha,malkangiri,6053,3896
March 2025,odisha,mayurbhanj,8491,14166
March 2025,odisha,nabarangpur,6051,8542
March 2025,odisha,nayagarh,2705,5418
March 2025,odisha,nuapada,1333,4485
March 2025,odisha,puri,3462,6229
March 2025,odisha,rayagada,2882,5772
March 2025,odisha,sambalpur,3200,4111
March 2025,odisha,sonepur,1331,2123
March 2025,odisha,sundargarh,5473,10112
March 2025,puducherry,karaikal,314,1019
March 2025,puducherry,puducherry,898,1420
March 2025,punjab,amritsar,7560,16513
March 2025,punjab,barnala,1305,3407
March 2025,punjab,bathinda,4876,9510
March 2025,punjab,faridkot,1520,4835
March 2025,punjab,fatehgarh sahib,1538,3229
March 2025,punjab,fazilka,3247,5534
March 2025,punjab,ferozepur,3385,6515
March 2025,punjab,gurdaspur,4892,12578
March 2025,punjab,hoshiarpur,3501,9848
March 2025,punjab,jalandhar,7894,16001
March 2025,punjab,kapurthala,2175,6472
March 2025,punjab,ludhiana,11042,18144
March 2025,punjab,malerkotla,461,1009
March 2025,punjab,mansa,2450,7771
March 2025,punjab,moga,2894,5865
March 2025,punjab,pathankot,1191,1950
March 2025,punjab,patiala,4526,11533
March 2025,punjab,rupnagar,1754,3993
March 2025,punjab,sangrur,3540,7334
March 2025,punjab,shahid bhagat singh nagar,1295,2340
March 2025,punjab,sri muktsar sahib,3368,6405
March 2025,punjab,tarn taran,3858,10650
March 2025,rajasthan,ajmer,6104,7466
March 2025,rajasthan,alwar,10532,13227
March 2025,rajasthan,banswara,3331,5978
March 2025,rajasthan,baran,3503,4849
March 2025,rajasthan,barmer,8085,9635
March 2025,rajasthan,bharatpur,5636,7951
March 2025,rajasthan,bhilwara,4822,5835
March 2025,rajasthan,bikaner,5707,8703
March 2025,rajasthan,bundi,2397,3593
March 2025,rajasthan,chittorgarh,3081,3721
March 2025,rajasthan,churu,5734,8444
March 2025,rajasthan,dausa,4864,6991
March 2025,rajasthan,dholpur,3854,4223
March 2025,rajasthan,dungarpur,3531,5204
March 2025,rajasthan,ganganagar,3617,7313
March 2025,rajasthan,hanumangarh,4108,7451
March 2025,rajasthan,jaipur,15224,25583
March 2025,rajasthan,jaisalmer,2386,2760
March 2025,rajasthan,jalore,3576,6046
March 2025,rajasthan,jhalawar,3336,4640
March 2025,rajasthan,jhunjhunu,4278,8656
March 2025,rajasthan,jodhpur,11211,13776
March 2025,rajasthan,karauli,3639,4685
March 2025,rajasthan,kota,4421,6301
March 2025,rajasthan,nagaur,7715,12792
March 2025,rajasthan,pali,4219,10985
March 2025,rajasthan,pratapgarh,2240,3021
March 2025,rajasthan,rajsamand,3393,3074
March 2025,rajasthan,sawai madhopur,3402,5584
March 2025,rajasthan,sikar,7418,12553
March 2025,rajasthan,sirohi,2283,3788
March 2025,rajasthan,tonk,3416,5761
March 2025,rajasthan,udaipur,9024,13530
March 2025,tamil nadu,ariyalur,6118,9085
March 2025,tamil nadu,chengalpattu,290,223
March 2025,tamil nadu,chennai,11938,18374
March 2025,tamil nadu,coimbatore,10507,18424
March 2025,tamil nadu,cuddalore,12561,7586
March 2025,tamil nadu,dharmapuri,13387,5045
March 2025,tamil nadu,dindigul,11793,18751
March 2025,tamil nadu,erode,8369,10427
March 2025,tamil nadu,kallakurichi,505,300
March 2025,tamil nadu,kancheepuram,14511,13965
March 2025,tamil nadu,kanniyakumari,3249,6501
March 2025,tamil nadu,karur,4830,3790
March 2025,tamil nadu,krishnagiri,11740,5748
March 2025,tamil nadu,madurai,14305,17159
March 2025,tamil nadu,mayiladuthurai,705,134
March 2025,tamil nadu,nagapattinam,5493,5038
March 2025,tamil nadu,namakkal,6014,9340
March 2025,tamil nadu,perambalur,5086,2259
March 2025,tamil nadu,pudukkottai,6620,9806
March 2025,tamil nadu,ramanathapuram,6244,7260
March 2025,tamil nadu,ranipet,12,16
March 2025,tamil nadu,salem,24298,16744
March 2025,tamil nadu,sivaganga,6045,7049
March 2025,tamil nadu,tenkasi,924,440
March 2025,tamil nadu,thanjavur,10900,15976
March 2025,tamil nadu,the nilgiris,3433,3093
March 2025,tamil nadu,theni,6290,7860
March 2025,tamil nadu,thiruvallur,18376,15290
March 2025,tamil nadu,thiruvarur,6865,4266
March 2025,tamil nadu,thoothukkudi,12958,13198
March 2025,tamil nadu,tiruchirappalli,10236,16835
March 2025,tamil nadu,tirunelveli,14754,19437
March 2025,tamil nadu,tirupathur,1384,426
March 2025,tamil nadu,tiruppur,8331,9270
March 2025,tamil nadu,tiruvannamalai,19832,6718
March 2025,tamil nadu,vellore,15366,11421
March 2025,tamil nadu,viluppuram,21843,12561
March 2025,tamil nadu,virudhunagar,7679,7069
March 2025,telangana,adilabad,3199,4410
March 2025,telangana,bhadradri kothagudem,644,1006
March 2025,telangana,hanumakonda,130,643
March 2025,telangana,hyderabad,10335,12114
March 2025,telangana,jagitial,403,539
March 2025,telangana,jangoan,133,281
March 2025,telangana,jayashankar bhupalapally,95,268
March 2025,telangana,jogulamba gadwal,687,669
March 2025,telangana,kamareddy,511,695
March 2025,telangana,karimnagar,5629,8910
March 2025,telangana,khammam,2478,2040
March 2025,telangana,mahabubabad,278,565
March 2025,telangana,mahabubnagar,10634,11582
March 2025,telangana,mancherial,264,688
March 2025,telangana,medak,4875,6149
March 2025,telangana,medchal malkajgiri,1723,3175
March 2025,telangana,mulugu,89,190
March 2025,telangana,nagarkurnool,523,659
March 2025,telangana,nalgonda,5924,6791
March 2025,telangana,narayanpet,236,356
March 2025,telangana,nirmal,270,435
March 2025,telangana,nizamabad,5437,6172
March 2025,telangana,peddapalli,147,495
March 2025,telangana,rajanna sircilla,302,440
March 2025,telangana,ranga reddy,71,282
March 2025,telangana,sangareddy,905,938
March 2025,telangana,siddipet,303,420
March 2025,telangana,suryapet,673,1407
March 2025,telangana,vikarabad,546,548
March 2025,telangana,wanaparthy,378,743
March 2025,telangana,warangal,4294,4369
March 2025,tripura,dhalai,4883,2795
March 2025,tripura,gomati,2597,579
March 2025,tripura,khowai,1656,412
March 2025,tripura,north tripura,5036,4245
March 2025,tripura,sepahijala,2920,1028
March 2025,tripura,south tripura,5021,7128
March 2025,tripura,unakoti,3288,565
March 2025,tripura,west tripura,8314,11372
March 2025,uttar pradesh,agra,15175,9350
March 2025,uttar pradesh,aligarh,17052,5512
March 2025,uttar pradesh,ambedkar nagar,4518,4307
March 2025,uttar pradesh,amethi,6068,4560
March 2025,uttar pradesh,amroha,6576,2622
March 2025,uttar pradesh,auraiya,5596,2005
March 2025,uttar pradesh,ayodhya,201,225
March 2025,uttar pradesh,azamgarh,9520,8706
March 2025,uttar pradesh,baghpat,5917,2117
March 2025,uttar pradesh,bahraich,19150,8314
March 2025,uttar pradesh,ballia,6687,6450
March 2025,uttar pradesh,balrampur,9329,3750
March 2025,uttar pradesh,banda,9193,5651
March 2025,uttar pradesh,bara banki,13872,6015
March 2025,uttar pradesh,bareilly,20480,6992
March 2025,uttar pradesh,basti,6664,4721
March 2025,uttar pradesh,bhadohi,422,470
March 2025,uttar pradesh,bijnor,15994,7059
March 2025,uttar pradesh,budaun,8868,3283
March 2025,uttar pradesh,bulandshahr,15326,4600
March 2025,uttar pradesh,chandauli,9352,3593
March 2025,uttar pradesh,chitrakoot,5216,2356
March 2025,uttar pradesh,deoria,7968,6619
March 2025,uttar pradesh,etah,6567,2532
March 2025,uttar pradesh,etawah,5882,2986
March 2025,uttar pradesh,farrukhabad,4804,1844
March 2025,uttar pradesh,fatehpur,7881,6783
March 2025,uttar pradesh,firozabad,8402,3036
March 2025,uttar pradesh,gautam buddha nagar,6854,4672
March 2025,uttar pradesh,ghaziabad,12856,9597
March 2025,uttar pradesh,ghazipur,10215,6490
March 2025,uttar pradesh,gonda,15768,6152
March 2025,uttar pradesh,gorakhpur,8891,12567
March 2025,uttar pradesh,hamirpur,4076,2427
March 2025,uttar pradesh,hapur,4968,1618
March 2025,uttar pradesh,hardoi,19747,6420
March 2025,uttar pradesh,hathras,8153,2125
March 2025,uttar pradesh,jalaun,6876,3593
March 2025,uttar pradesh,jaunpur,11173,8584
March 2025,uttar pradesh,jhansi,7879,4859
March 2025,uttar pradesh,kannauj,5073,2306
March 2025,uttar pradesh,kanpur dehat,6381,2358
March 2025,uttar pradesh,kanpur nagar,9586,8989
March 2025,uttar pradesh,kasganj,5037,2259
March 2025,uttar pradesh,kaushambi,8156,2174
March 2025,uttar pradesh,kheri,19945,6925
March 2025,uttar pradesh,kushinagar,8077,7631
March 2025,uttar pradesh,lalitpur,3811,3785
March 2025,uttar pradesh,lucknow,13425,10231
March 2025,uttar pradesh,mahoba,3781,1770
March 2025,uttar pradesh,mahrajganj,5914,5062
March 2025,uttar pradesh,mainpuri,3971,2801
