state_norm,district,month,bio_age_5_17,bio_age_17_
gujarat,navsari,March 2025,2369,2679
gujarat,panch mahals,March 2025,0,0
gujarat,patan,March 2025,3086,4716
gujarat,porbandar,March 2025,1770,2266
gujarat,rajkot,March 2025,9086,10727
gujarat,sabar kantha,March 2025,0,0
gujarat,surat,March 2025,15243,18852
gujarat,surendranagar,March 2025,0,0
gujarat,tapi,March 2025,1872,3805
gujarat,vadodara,March 2025,7894,17180
gujarat,valsad,March 2025,4860,6790
gujarat,vav tharad,March 2025,0,0
haryana,ambala,March 2025,2853,6773
haryana,bhiwani,March 2025,4091,8113
haryana,charkhi dadri,March 2025,238,857
haryana,faridabad,March 2025,5798,8083
haryana,fatehabad,March 2025,3580,6150
haryana,gurugram,March 2025,0,0
haryana,hisar,March 2025,4202,7560
haryana,jhajjar,March 2025,2471,3813
haryana,jind,March 2025,3562,7112
haryana,kaithal,March 2025,3091,6501
haryana,karnal,March 2025,3424,8201
haryana,kurukshetra,March 2025,2920,6507
haryana,mahendragarh,March 2025,1721,3292
haryana,nuh,March 2025,0,0
haryana,palwal,March 2025,2662,3033
haryana,panchkula,March 2025,1692,2763
haryana,panipat,March 2025,3293,6275
haryana,rewari,March 2025,2125,3098
haryana,rohtak,March 2025,2767,7186
haryana,sirsa,March 2025,4013,7036
haryana,sonipat,March 2025,3831,6795
haryana,yamunanagar,March 2025,14,90
himachal pradesh,bilaspur,March 2025,1055,1907
himachal pradesh,chamba,March 2025,1764,3313
himachal pradesh,hamirpur,March 2025,1325,2008
himachal pradesh,kangra,March 2025,5235,7358
himachal pradesh,kinnaur,March 2025,145,250
himachal pradesh,kullu,March 2025,1231,1459
himachal pradesh,lahaul and spiti,March 2025,0,0
himachal pradesh,mandi,March 2025,3777,4936
himachal pradesh,shimla,March 2025,2185,2872
himachal pradesh,sirmaur,March 2025,2804,3382
himachal pradesh,solan,March 2025,1705,2383
himachal pradesh,una,March 2025,1841,2517
jammu and kashmir,anantnag,March 2025,2053,3228
jammu and kashmir,bandipora,March 2025,866,1736
jammu and kashmir,baramulla,March 2025,2703,5195
jammu and kashmir,budgam,March 2025,1447,949
jammu and kashmir,doda,March 2025,1793,2846
jammu and kashmir,ganderbal,March 2025,668,1163
jammu and kashmir,jammu,March 2025,3883,7915
jammu and kashmir,kathua,March 2025,1736,2985
jammu and kashmir,kishtwar,March 2025,1049,1570
jammu and kashmir,kulgam,March 2025,1420,2071
jammu and kashmir,kupwara,March 2025,1999,3376
jammu and kashmir,poonch,March 2025,0,0
jammu and kashmir,pulwama,March 2025,885,1881
jammu and kashmir,rajouri,March 2025,2947,5630
jammu and kashmir,ramban,March 2025,1146,1352
jammu and kashmir,reasi,March 2025,1251,2395
jammu and kashmir,samba,March 2025,529,825
jammu and kashmir,shopian,March 2025,0,0
jammu and kashmir,srinagar,March 2025,1965,5087
jammu and kashmir,udhampur,March 2025,3126,4770
jharkhand,bokaro,March 2025,3629,8264
jharkhand,chatra,March 2025,5091,7042
jharkhand,deoghar,March 2025,5230,5790
jharkhand,dhanbad,March 2025,7080,17070
jharkhand,dumka,March 2025,8376,6943
jharkhand,east singhbum,March 2025,10278,11606
jharkhand,garhwa,March 2025,7022,11269
jharkhand,giridih,March 2025,8203,10019
jharkhand,godda,March 2025,8171,6322
jharkhand,gumla,March 2025,3986,6975
jharkhand,hazaribagh,March 2025,6478,6179
jharkhand,jamtara,March 2025,2625,3787
jharkhand,khunti,March 2025,2118,3257
jharkhand,koderma,March 2025,3159,4050
jharkhand,latehar,March 2025,4341,3293
jharkhand,lohardaga,March 2025,2355,4669
jharkhand,pakur,March 2025,4334,3333
jharkhand,palamu,March 2025,9530,10780
jharkhand,ramgarh,March 2025,2636,2897
jharkhand,ranchi,March 2025,11510,23635
jharkhand,sahebganj,March 2025,6318,5442
jharkhand,saraikela kharsawan,March 2025,4741,5948
jharkhand,simdega,March 2025,2855,5188
jharkhand,west singhbhum,March 2025,11055,9473
karnataka,bagalkote,March 2025,5713,4924
karnataka,ballari,March 2025,2984,1625
karnataka,belagavi,March 2025,6453,3871
karnataka,bengaluru rural,March 2025,0,0
karnataka,bengaluru south,March 2025,0,0
karnataka,bengaluru urban,March 2025,0,0
karnataka,bidar,March 2025,3330,5333
karnataka,chamarajanagar,March 2025,1097,1583
karnataka,chikkaballapura,March 2025,3015,2627
karnataka,chikkamagaluru,March 2025,842,971
karnataka,chitradurga,March 2025,2547,4326
karnataka,dakshina kannada,March 2025,2780,5479
karnataka,davanagere,March 2025,5280,6814
karnataka,dharwad,March 2025,6422,7178
karnataka,gadag,March 2025,3239,2333
karnataka,hassan,March 2025,3078,3312
karnataka,haveri,March 2025,7162,3795
karnataka,kalaburagi,March 2025,4847,3255
karnataka,kodagu,March 2025,677,1164
karnataka,kolar,March 2025,3153,4871
karnataka,koppal,March 2025,3016,3348
karnataka,mandya,March 2025,2412,4580
karnataka,mysuru,March 2025,2850,3420
karnataka,raichur,March 2025,4424,6106
karnataka,shivamogga,March 2025,1755,1463
karnataka,tumakuru,March 2025,3991,7754
karnataka,udupi,March 2025,1579,1759
karnataka,uttara kannada,March 2025,2057,2476
karnataka,vijayanagara,March 2025,854,1314
karnataka,vijayapura,March 2025,4798,2429
karnataka,yadgir,March 2025,3545,3702
kerala,alappuzha,March 2025,3226,6251
kerala,ernakulam,March 2025,5737,11380
kerala,idukki,March 2025,1958,3567
kerala,kannur,March 2025,4097,6968
kerala,kasaragod,March 2025,3286,3560
kerala,kollam,March 2025,4871,8548
kerala,kottayam,March 2025,2277,4982
kerala,kozhikode,March 2025,5544,7757
kerala,malappuram,March 2025,10776,12728
kerala,palakkad,March 2025,8738,11823
kerala,pathanamthitta,March 2025,1645,4606
kerala,thiruvananthapuram,March 2025,6652,11037
kerala,thrissur,March 2025,7177,9335
kerala,wayanad,March 2025,1262,2937
ladakh,kargil,March 2025,277,243
ladakh,leh ladakh,March 2025,0,0
lakshadweep,lakshadweep district,March 2025,0,0
madhya pradesh,agar malwa,March 2025,619,1070
madhya pradesh,alirajpur,March 2025,1527,3407
madhya pradesh,anuppur,March 2025,2298,5334
madhya pradesh,ashoknagar,March 2025,4292,4547
madhya pradesh,balaghat,March 2025,6402,8235
madhya pradesh,barwani,March 2025,7982,9951
madhya pradesh,betul,March 2025,3867,10755
madhya pradesh,bhind,March 2025,4405,3388
madhya pradesh,bhopal,March 2025,7463,9049
madhya pradesh,burhanpur,March 2025,2197,3534
madhya pradesh,chhatarpur,March 2025,9711,11673
madhya pradesh,chhindwara,March 2025,3694,10171
madhya pradesh,damoh,March 2025,7936,12055
madhya pradesh,datia,March 2025,2230,2509
madhya pradesh,dewas,March 2025,3249,6322
madhya pradesh,dhar,March 2025,6968,9976
madhya pradesh,dindori,March 2025,2267,4844
madhya pradesh,guna,March 2025,8594,5775
madhya pradesh,gwalior,March 2025,7276,7161
madhya pradesh,harda,March 2025,2707,3422
madhya pradesh,indore,March 2025,11298,10515
madhya pradesh,jabalpur,March 2025,6187,7925
madhya pradesh,jhabua,March 2025,2387,6541
madhya pradesh,katni,March 2025,3239,8903
madhya pradesh,khandwa east nimar,March 2025,0,0
madhya pradesh,khargone west nimar,March 2025,0,0
madhya pradesh,maihar,March 2025,0,0
madhya pradesh,mandla,March 2025,3181,4150
madhya pradesh,mandsaur,March 2025,5021,6824
madhya pradesh,mauganj,March 2025,0,0
madhya pradesh,morena,March 2025,13912,6993
madhya pradesh,narmadapuram,March 2025,167,686
madhya pradesh,narsimhapur,March 2025,135,552
madhya pradesh,neemuch,March 2025,2497,2092
madhya pradesh,niwari,March 2025,158,132
madhya pradesh,pandhurna,March 2025,0,0
madhya pradesh,panna,March 2025,4877,8614
madhya pradesh,raisen,March 2025,3285,5491
madhya pradesh,rajgarh,March 2025,10071,14023
madhya pradesh,ratlam,March 2025,4993,5623
madhya pradesh,rewa,March 2025,13084,10964
madhya pradesh,sagar,March 2025,10882,12949
madhya pradesh,satna,March 2025,7162,11270
madhya pradesh,sehore,March 2025,4438,8568
madhya pradesh,seoni,March 2025,5711,5702
madhya pradesh,shahdol,March 2025,3159,7894
madhya pradesh,shajapur,March 2025,7862,8321
madhya pradesh,sheopur,March 2025,3043,3816
madhya pradesh,shivpuri,March 2025,9627,7104
madhya pradesh,sidhi,March 2025,12873,7426
madhya pradesh,singrauli,March 2025,9011,6282
madhya pradesh,tikamgarh,March 2025,9269,13144
madhya pradesh,ujjain,March 2025,5583,6762
madhya pradesh,umaria,March 2025,1403,3187
madhya pradesh,vidisha,March 2025,5177,5933
maharashtra,ahilyanagar,March 2025,0,0
maharashtra,akola,March 2025,5799,19830
maharashtra,amravati,March 2025,9464,30849
maharashtra,beed,March 2025,8159,16280
maharashtra,bhandara,March 2025,2521,8744
maharashtra,buldhana,March 2025,6890,16501
maharashtra,chandrapur,March 2025,7293,17284
maharashtra,chhatrapati sambhajinagar,March 2025,31,156
maharashtra,dharashiv,March 2025,0,0
maharashtra,dhule,March 2025,5157,14043
maharashtra,gadchiroli,March 2025,2665,9929
maharashtra,gondia,March 2025,4074,7263
maharashtra,hingoli,March 2025,2200,5880
maharashtra,jalgaon,March 2025,11108,29512
maharashtra,jalna,March 2025,5388,11402
maharashtra,kolhapur,March 2025,9588,18096
maharashtra,latur,March 2025,9558,19388
maharashtra,mumbai,March 2025,7636,31432
maharashtra,mumbai suburban,March 2025,7347,9473
maharashtra,nagpur,March 2025,11511,30242
maharashtra,nanded,March 2025,14793,23918
maharashtra,nandurbar,March 2025,5201,12240
maharashtra,nashik,March 2025,19311,43604
maharashtra,palghar,March 2025,7288,7628
maharashtra,parbhani,March 2025,9812,10952
maharashtra,pune,March 2025,23546,42545
maharashtra,raigad,March 2025,254,1097
maharashtra,ratnagiri,March 2025,3235,8969
maharashtra,sangli,March 2025,9383,16901
maharashtra,satara,March 2025,8173,14177
maharashtra,sindhudurg,March 2025,1903,3624
maharashtra,solapur,March 2025,13276,22111
maharashtra,thane,March 2025,13203,38556
maharashtra,wardha,March 2025,4565,10487
maharashtra,washim,March 2025,4056,10181
maharashtra,yavatmal,March 2025,10207,28222
manipur,bishnupur,March 2025,524,607
manipur,chandel,March 2025,249,895
manipur,churachandpur,March 2025,796,866
manipur,imphal east,March 2025,1000,1623
manipur,imphal west,March 2025,906,1352
manipur,jiribam,March 2025,20,229
manipur,kakching,March 2025,49,30
manipur,kamjong,March 2025,0,0
manipur,kangpokpi,March 2025,0,0
manipur,noney,March 2025,0,0
manipur,pherzawl,March 2025,0,0
manipur,senapati,March 2025,722,1183
manipur,tamenglong,March 2025,180,364
manipur,tengnoupal,March 2025,0,0
manipur,thoubal,March 2025,1039,1297
manipur,ukhrul,March 2025,376,1359
meghalaya,east garo hills,March 2025,75,363
meghalaya,east jaintia hills,March 2025,136,90
meghalaya,east khasi hills,March 2025,840,1744
meghalaya,eastern west khasi hills,March 2025,0,0
meghalaya,north garo hills,March 2025,79,75
meghalaya,ri bhoi,March 2025,213,213
meghalaya,south garo hills,March 2025,44,92
meghalaya,south west garo hills,March 2025,159,623
meghalaya,south west khasi hills,March 2025,168,434
meghalaya,west garo hills,March 2025,917,3902
meghalaya,west jaintia hills,March 2025,596,335
meghalaya,west khasi hills,March 2025,327,392
mizoram,aizawl,March 2025,12080,3703
mizoram,champhai,March 2025,6324,1528
mizoram,hnahthial,March 2025,0,0
mizoram,khawzawl,March 2025,0,0
mizoram,kolasib,March 2025,3984,962
mizoram,lawngtlai,March 2025,3058,915
mizoram,lunglei,March 2025,4383,1393
mizoram,mamit,March 2025,4922,1050
mizoram,saitual,March 2025,11,16
mizoram,serchhip,March 2025,3036,1087
mizoram,siaha,March 2025,0,0
nagaland,chumoukedima,March 2025,0,0
nagaland,dimapur,March 2025,1135,2360
nagaland,kiphire,March 2025,173,388
nagaland,kohima,March 2025,298,1799
nagaland,longleng,March 2025,98,398
nagaland,meluri,March 2025,0,0
nagaland,mokokchung,March 2025,161,533
nagaland,mon,March 2025,652,1189
nagaland,niuland,March 2025,14,46
nagaland,noklak,March 2025,16,59
nagaland,peren,March 2025,256,488
nagaland,phek,March 2025,147,1487
nagaland,shamator,March 2025,0,0
nagaland,tseminyu,March 2025,13,46
nagaland,tuensang,March 2025,285,793
nagaland,wokha,March 2025,246,1146
nagaland,zunheboto,March 2025,159,1508
odisha,angul,March 2025,2780,5034
odisha,balangir,March 2025,4017,8197
odisha,balasore,March 2025,0,0
odisha,bargarh,March 2025,3647,7630
odisha,bhadrak,March 2025,3931,6830
odisha,boudh,March 2025,1077,2317
odisha,cuttack,March 2025,5048,11464
odisha,deogarh,March 2025,0,0
odisha,dhenkanal,March 2025,4187,7396
odisha,gajapati,March 2025,2775,6864
odisha,ganjam,March 2025,8590,14760
odisha,jagatsinghapur,March 2025,1928,5018
odisha,jajpur,March 2025,4508,8270
odisha,jharsuguda,March 2025,1279,1994
odisha,kalahandi,March 2025,5546,11235
odisha,kandhamal,March 2025,3687,6796
odisha,kendrapara,March 2025,4036,7247
odisha,keonjhar,March 2025,0,0
odisha,khordha,March 2025,4708,8079
odisha,koraput,March 2025,7919,12295
odisha,malkangiri,March 2025,6053,3896
odisha,mayurbhanj,March 2025,8491,14166
odisha,nabarangpur,March 2025,6051,8542
odisha,nayagarh,March 2025,2705,5418
odisha,nuapada,March 2025,1333,4485
odisha,puri,March 2025,3462,6229
odisha,rayagada,March 2025,2882,5772
odisha,sambalpur,March 2025,3200,4111
odisha,sonepur,March 2025,1331,2123
odisha,sundargarh,March 2025,5473,10112
puducherry,karaikal,March 2025,314,1019
puducherry,puducherry,March 2025,898,1420
punjab,amritsar,March 2025,7560,16513
punjab,barnala,March 2025,1305,3407
punjab,bathinda,March 2025,4876,9510
punjab,faridkot,March 2025,1520,4835
punjab,fatehgarh sahib,March 2025,1538,3229
punjab,fazilka,March 2025,3247,5534
punjab,ferozepur,March 2025,3385,6515
punjab,gurdaspur,March 2025,4892,12578
punjab,hoshiarpur,March 2025,3501,9848
punjab,jalandhar,March 2025,7894,16001
punjab,kapurthala,March 2025,2175,6472
punjab,ludhiana,March 2025,11042,18144
punjab,malerkotla,March 2025,461,1009
punjab,mansa,March 2025,2450,7771
punjab,moga,March 2025,2894,5865
punjab,pathankot,March 2025,1191,1950
punjab,patiala,March 2025,4526,11533
punjab,rupnagar,March 2025,1754,3993
punjab,s a s nagar,March 2025,0,0
punjab,sangrur,March 2025,3540,7334
punjab,shahid bhagat singh nagar,March 2025,1295,2340
punjab,sri muktsar sahib,March 2025,3368,6405
punjab,tarn taran,March 2025,3858,10650
rajasthan,ajmer,March 2025,6104,7466
rajasthan,alwar,March 2025,10532,13227
rajasthan,balotra,March 2025,0,0
rajasthan,banswara,March 2025,3331,5978
rajasthan,baran,March 2025,3503,4849
rajasthan,barmer,March 2025,8085,9635
rajasthan,beawar,March 2025,0,0
rajasthan,bharatpur,March 2025,5636,7951
rajasthan,bhilwara,March 2025,4822,5835
rajasthan,bikaner,March 2025,5707,8703
rajasthan,bundi,March 2025,2397,3593
rajasthan,chittorgarh,March 2025,3081,3721
rajasthan,churu,March 2025,5734,8444
rajasthan,dausa,March 2025,4864,6991
rajasthan,deeg,March 2025,0,0
rajasthan,dholpur,March 2025,3854,4223
rajasthan,didwana kuchaman,March 2025,0,0
rajasthan,dungarpur,March 2025,3531,5204
rajasthan,ganganagar,March 2025,3617,7313
rajasthan,hanumangarh,March 2025,4108,7451
rajasthan,jaipur,March 2025,15224,25583
rajasthan,jaisalmer,March 2025,2386,2760
rajasthan,jalore,March 2025,3576,6046
rajasthan,jhalawar,March 2025,3336,4640
rajasthan,jhunjhunu,March 2025,4278,8656
rajasthan,jodhpur,March 2025,11211,13776
rajasthan,karauli,March 2025,3639,4685
rajasthan,khairthal tijara,March 2025,0,0
rajasthan,kota,March 2025,4421,6301
rajasthan,kotputli behror,March 2025,0,0
rajasthan,nagaur,March 2025,7715,12792
rajasthan,pali,March 2025,4219,10985
rajasthan,phalodi,March 2025,0,0
rajasthan,pratapgarh,March 2025,2240,3021
rajasthan,rajsamand,March 2025,3393,3074
rajasthan,salumbar,March 2025,0,0
rajasthan,sawai madhopur,March 2025,3402,5584
rajasthan,sikar,March 2025,7418,12553
rajasthan,sirohi,March 2025,2283,3788
rajasthan,tonk,March 2025,3416,5761
rajasthan,udaipur,March 2025,9024,13530
sikkim,gangtok,March 2025,0,0
sikkim,gyalshing,March 2025,0,0
sikkim,mangan,March 2025,0,0
sikkim,namchi,March 2025,0,0
sikkim,pakyong,March 2025,0,0
sikkim,soreng,March 2025,0,0
tamil nadu,ariyalur,March 2025,6118,9085
tamil nadu,chengalpattu,March 2025,290,223
tamil nadu,chennai,March 2025,11938,18374
tamil nadu,coimbatore,March 2025,10507,18424
tamil nadu,cuddalore,March 2025,12561,7586
tamil nadu,dharmapuri,March 2025,13387,5045
tamil nadu,dindigul,March 2025,11793,18751
tamil nadu,erode,March 2025,8369,10427
tamil nadu,kallakurichi,March 2025,505,300
tamil nadu,kancheepuram,March 2025,14511,13965
tamil nadu,kanniyakumari,March 2025,3249,6501
tamil nadu,karur,March 2025,4830,3790
tamil nadu,krishnagiri,March 2025,11740,5748
tamil nadu,madurai,March 2025,14305,17159
tamil nadu,mayiladuthurai,March 2025,705,134
tamil nadu,nagapattinam,March 2025,5493,5038
tamil nadu,namakkal,March 2025,6014,9340
tamil nadu,perambalur,March 2025,5086,2259
tamil nadu,pudukkottai,March 2025,6620,9806
tamil nadu,ramanathapuram,March 2025,6244,7260
tamil nadu,ranipet,March 2025,12,16
tamil nadu,salem,March 2025,24298,16744
tamil nadu,sivaganga,March 2025,6045,7049
tamil nadu,tenkasi,March 2025,924,440
tamil nadu,thanjavur,March 2025,10900,15976
tamil nadu,the nilgiris,March 2025,3433,3093
tamil nadu,theni,March 2025,6290,7860
tamil nadu,thiruvallur,March 2025,18376,15290
tamil nadu,thiruvarur,March 2025,6865,4266
tamil nadu,thoothukkudi,March 2025,12958,13198
tamil nadu,tiruchirappalli,March 2025,10236,16835
tamil nadu,tirunelveli,March 2025,14754,19437
tamil nadu,tirupathur,March 2025,1384,426
tamil nadu,tiruppur,March 2025,8331,9270
tamil nadu,tiruvannamalai,March 2025,19832,6718
tamil nadu,vellore,March 2025,15366,11421
tamil nadu,viluppuram,March 2025,21843,12561
tamil nadu,virudhunagar,March 2025,7679,7069
telangana,adilabad,March 2025,3199,4410
telangana,bhadradri kothagudem,March 2025,644,1006
telangana,hanumakonda,March 2025,130,643
telangana,hyderabad,March 2025,10335,12114
telangana,jagitial,March 2025,403,539
telangana,jangoan,March 2025,133,281
telangana,jayashankar bhupalapally,March 2025,95,268
telangana,jogulamba gadwal,March 2025,687,669
telangana,kamareddy,March 2025,511,695
telangana,karimnagar,March 2025,5629,8910
telangana,khammam,March 2025,2478,2040
telangana,kumuram bheem asifabad,March 2025,0,0
telangana,mahabubabad,March 2025,278,565
telangana,mahabubnagar,March 2025,10634,11582
telangana,mancherial,March 2025,264,688
telangana,medak,March 2025,4875,6149
telangana,medchal malkajgiri,March 2025,1723,3175
telangana,mulugu,March 2025,89,190
telangana,nagarkurnool,March 2025,523,659
telangana,nalgonda,March 2025,5924,6791
telangana,narayanpet,March 2025,236,356
