date,state,district,age_0_5,age_5_17,age_18_greater
2025-01-04,madhya pradesh,alirajpur,134,105,15
2025-01-04,madhya pradesh,ashok nagar,342,139,50
2025-01-04,madhya pradesh,barwani,497,313,10
2025-01-04,madhya pradesh,betul,193,20,10
2025-01-04,madhya pradesh,bhind,732,228,91
2025-01-04,madhya pradesh,bhopal,316,47,20
2025-01-04,madhya pradesh,burhanpur,547,155,100
2025-01-04,madhya pradesh,chhatarpur,555,255,40
2025-01-04,madhya pradesh,datia,237,55,10
2025-01-04,madhya pradesh,dewas,427,65,10
2025-01-04,madhya pradesh,dhar,396,116,107
2025-01-04,madhya pradesh,guna,633,120,31
2025-01-04,madhya pradesh,gwalior,855,370,113
2025-01-04,madhya pradesh,indore,830,205,48
2025-01-04,madhya pradesh,jabalpur,125,23,11
2025-01-04,madhya pradesh,jhabua,466,372,48
2025-01-04,madhya pradesh,katni,353,40,20
2025-01-04,madhya pradesh,khandwa,271,133,16
2025-01-04,madhya pradesh,khargone,695,188,52
2025-01-04,madhya pradesh,morena,1027,459,82
2025-01-04,madhya pradesh,panna,107,33,19
2025-01-04,madhya pradesh,raisen,410,83,22
2025-01-04,madhya pradesh,sagar,183,26,12
2025-01-04,madhya pradesh,satna,368,55,14
2025-01-04,madhya pradesh,sheopur,209,163,24
2025-01-04,madhya pradesh,shivpuri,499,259,111
2025-01-04,madhya pradesh,vidisha,670,119,42
2025-01-04,maharashtra,ahmadnagar,71,15,10
2025-01-04,maharashtra,aurangabad,584,154,53
2025-01-04,maharashtra,beed,379,52,19
2025-01-04,maharashtra,chandrapur,193,18,10
2025-01-04,maharashtra,hingoli,913,95,136
2025-01-04,maharashtra,jalgaon,360,53,10
2025-01-04,maharashtra,latur,229,42,23
2025-01-04,maharashtra,mumbai suburban,389,109,44
2025-01-04,maharashtra,nagpur,468,50,48
2025-01-04,maharashtra,nanded,462,89,56
2025-01-04,maharashtra,nandurbar,237,35,10
2025-01-04,maharashtra,palghar,174,90,16
2025-01-04,maharashtra,parbhani,135,10,16
2025-01-04,maharashtra,pune,39,11,19
2025-01-04,maharashtra,raigad,242,72,21
2025-01-04,maharashtra,satara,192,26,18
2025-01-04,maharashtra,solapur,548,67,45
2025-01-04,maharashtra,thane,2371,913,150
2025-01-04,manipur,churachandpur,130,476,26
2025-01-04,meghalaya,east garo hills,491,1124,293
2025-01-04,meghalaya,east jaintia hills,434,765,283
2025-01-04,meghalaya,east khasi hills,1437,4688,1673
2025-01-04,meghalaya,north garo hills,205,1048,242
2025-01-04,meghalaya,ri bhoi,319,1500,514
2025-01-04,meghalaya,south garo hills,231,820,367
2025-01-04,meghalaya,south west garo hills,991,610,174
2025-01-04,meghalaya,south west khasi hills,241,535,212
2025-01-04,meghalaya,west garo hills,1215,1761,727
2025-01-04,meghalaya,west jaintia hills,712,1478,727
2025-01-04,meghalaya,west khasi hills,896,2670,1129
2025-01-04,mizoram,champhai,275,76,17
2025-01-04,nagaland,chumukedima,16,57,13
2025-01-04,nagaland,dimapur,249,454,80
2025-01-04,nagaland,kohima,212,385,49
2025-01-04,nagaland,longleng,131,226,12
2025-01-04,nagaland,noklak,47,65,16
2025-01-04,nagaland,peren,201,331,12
2025-01-04,nagaland,phek,157,268,22
2025-01-04,nagaland,tuensang,173,296,34
2025-01-04,odisha,nabarangapur,182,82,12
2025-01-04,punjab,amritsar,959,209,54
2025-01-04,punjab,gurdaspur,233,36,49
2025-01-04,punjab,hoshiarpur,267,35,34
2025-01-04,punjab,kapurthala,302,65,305
2025-01-04,punjab,ludhiana,1841,734,184
2025-01-04,punjab,sangrur,145,11,10
2025-01-04,punjab,sas nagar (mohali),204,65,11
2025-01-04,rajasthan,ajmer,1007,196,36
2025-01-04,rajasthan,alwar,784,209,39
2025-01-04,rajasthan,baran,379,60,25
2025-01-04,rajasthan,bharatpur,240,37,10
2025-01-04,rajasthan,bikaner,552,261,16
2025-01-04,rajasthan,bundi,337,93,35
2025-01-04,rajasthan,churu,316,141,12
2025-01-04,rajasthan,dholpur,947,347,50
2025-01-04,rajasthan,dungarpur,66,83,13
2025-01-04,rajasthan,jaipur,2601,671,162
2025-01-04,rajasthan,jalor,1186,672,124
2025-01-04,rajasthan,jhalawar,112,49,12
2025-01-04,rajasthan,jodhpur,1624,565,87
2025-01-04,rajasthan,karauli,348,105,12
2025-01-04,rajasthan,kota,37,17,14
2025-01-04,rajasthan,nagaur,563,278,32
2025-01-04,rajasthan,pali,138,38,11
2025-01-04,rajasthan,sikar,251,62,22
2025-01-04,rajasthan,sirohi,349,210,67
2025-01-04,rajasthan,udaipur,70,47,15
2025-01-04,sikkim,south sikkim,15,23,11
2025-01-04,sikkim,west sikkim,52,65,10
2025-01-04,tamil nadu,kancheepuram,229,75,24
2025-01-04,tamil nadu,madurai,94,10,11
2025-01-04,tamil nadu,thanjavur,35,10,11
2025-01-04,telangana,hyderabad,252,32,22
2025-01-04,telangana,k.v. rangareddy,159,25,28
2025-01-04,telangana,medchal-malkajgiri,76,25,15
2025-01-04,tripura,unakoti,19,16,15
2025-01-04,tripura,west tripura,146,65,25
2025-01-04,uttar pradesh,agra,832,568,37
2025-01-04,uttar pradesh,aligarh,1066,643,58
2025-01-04,uttar pradesh,ambedkar nagar,159,143,10
2025-01-04,uttar pradesh,amroha,434,135,11
2025-01-04,uttar pradesh,azamgarh,231,332,26
2025-01-04,uttar pradesh,baghpat,311,224,18
2025-01-04,uttar pradesh,bahraich,1748,1784,281
2025-01-04,uttar pradesh,balrampur,429,642,32
2025-01-04,uttar pradesh,banda,458,340,43
2025-01-04,uttar pradesh,bara banki,172,72,10
2025-01-04,uttar pradesh,bareilly,3176,1025,63
2025-01-04,uttar pradesh,basti,140,139,10
2025-01-04,uttar pradesh,budaun,480,267,13
2025-01-04,uttar pradesh,bulandshahr,612,527,49
2025-01-04,uttar pradesh,chandauli,195,192,41
2025-01-04,uttar pradesh,etah,724,354,13
2025-01-04,uttar pradesh,etawah,348,226,16
2025-01-04,uttar pradesh,fatehpur,166,136,10
2025-01-04,uttar pradesh,gautam buddha nagar,1192,1186,113
2025-01-04,uttar pradesh,gonda,392,260,50
2025-01-04,uttar pradesh,gorakhpur,378,727,86
2025-01-04,uttar pradesh,jalaun,221,102,26
2025-01-04,uttar pradesh,jaunpur,662,800,64
2025-01-04,uttar pradesh,kanpur dehat,469,364,75
2025-01-04,uttar pradesh,kanpur nagar,1405,1363,222
2025-01-04,uttar pradesh,kaushambi,133,109,25
2025-01-04,uttar pradesh,kheri,523,548,31
2025-01-04,uttar pradesh,lucknow,1235,1253,125
2025-01-04,uttar pradesh,maharajganj,873,977,79
2025-01-04,uttar pradesh,mainpuri,348,313,46
2025-01-04,uttar pradesh,meerut,1370,650,33
2025-01-04,uttar pradesh,moradabad,1519,510,15
2025-01-04,uttar pradesh,muzaffarnagar,680,308,27
2025-01-04,uttar pradesh,pilibhit,598,260,20
2025-01-04,uttar pradesh,rampur,894,333,19
2025-01-04,uttar pradesh,saharanpur,1499,533,29
2025-01-04,uttar pradesh,shahjahanpur,1402,852,63
2025-01-04,uttar pradesh,shamli,374,151,12
2025-01-04,uttar pradesh,shrawasti,207,307,11
2025-01-04,uttar pradesh,siddharthnagar,804,1006,68
2025-01-04,uttar pradesh,sitapur,1928,1053,87
2025-01-04,uttar pradesh,sultanpur,262,195,23
2025-01-04,uttar pradesh,unnao,937,547,30
2025-01-04,uttar pradesh,varanasi,527,733,81
2025-01-04,uttarakhand,dehradun,510,138,26
2025-01-04,uttarakhand,nainital,488,66,48
2025-01-04,west bengal,alipurduar,38,63,27
2025-01-04,west bengal,cooch behar,297,156,32
2025-01-04,west bengal,darjeeling,383,200,75
2025-01-04,west bengal,jalpaiguri,194,62,36
2025-01-04,west bengal,jhargram,40,10,12
2025-01-04,west bengal,kolkata,21,10,23
2025-01-04,west bengal,malda,306,80,10
2025-01-04,west bengal,nadia,204,33,11
2025-01-04,west bengal,north 24 parganas,126,67,39
2025-01-04,west bengal,uttar dinajpur,1264,333,116
2025-01-05,assam,baksa,37,25,20
2025-01-05,assam,barpeta,90,83,10
2025-01-05,assam,bongaigaon,110,41,15
2025-01-05,assam,charaideo,29,11,10
2025-01-05,assam,darrang,87,53,308
2025-01-05,assam,dhemaji,264,174,153
2025-01-05,assam,dibrugarh,140,95,149
2025-01-05,assam,goalpara,412,253,116
2025-01-05,assam,golaghat,807,826,230
2025-01-05,assam,jorhat,17,24,13
2025-01-05,assam,kamrup,813,580,264
2025-01-05,assam,kamrup metro,67,42,53
2025-01-05,assam,karbi anglong,446,1537,175
2025-01-05,assam,karimganj,286,282,193
2025-01-05,assam,kokrajhar,249,237,32
2025-01-05,assam,lakhimpur,404,216,127
2025-01-05,assam,marigaon,130,219,29
2025-01-05,assam,nalbari,134,75,37
2025-01-05,assam,north cachar hills,25,39,13
2025-01-05,assam,sibsagar,95,43,87
2025-01-05,assam,sonitpur,55,160,38
2025-01-05,assam,tinsukia,213,216,171
2025-01-05,assam,udalguri,221,162,164
2025-01-05,assam,west karbi anglong,39,216,11
2025-01-05,bihar,arwal,43,156,10
2025-01-05,bihar,bhagalpur,1500,1363,85
2025-01-05,bihar,east champaran,1445,2871,192
2025-01-05,bihar,gaya,452,1796,69
2025-01-05,bihar,gopalganj,385,495,27
2025-01-05,bihar,jamui,245,292,13
2025-01-05,bihar,kaimur (bhabua),273,642,22
2025-01-05,bihar,katihar,270,215,10
2025-01-05,bihar,madhubani,874,995,102
2025-01-05,bihar,muzaffarpur,2161,2046,159
2025-01-05,bihar,patna,105,347,22
2025-01-05,bihar,saharsa,334,295,13
2025-01-05,bihar,sitamarhi,2961,2387,348
2025-01-05,bihar,siwan,269,384,12
2025-01-05,bihar,west champaran,1934,2875,157
2025-01-05,chhattisgarh,baloda bazar,492,35,17
2025-01-05,chhattisgarh,bijapur,275,180,155
2025-01-05,chhattisgarh,sukma,178,55,19
2025-01-05,delhi,central delhi,208,105,20
2025-01-05,delhi,east delhi,969,342,67
2025-01-05,delhi,north west delhi,368,251,25
2025-01-05,delhi,shahdara,66,47,20
2025-01-05,delhi,south delhi,217,88,28
2025-01-05,delhi,south west delhi,448,188,48
2025-01-05,delhi,west delhi,1411,493,172
2025-01-05,gujarat,ahmedabad,756,347,97
2025-01-05,gujarat,anand,111,22,10
2025-01-05,gujarat,banaskantha,1146,724,178
2025-01-05,gujarat,bharuch,303,69,23
2025-01-05,gujarat,chhotaudepur,127,61,28
2025-01-05,gujarat,dahod,710,717,653
2025-01-05,gujarat,devbhumi dwarka,167,26,23
2025-01-05,gujarat,gandhinagar,251,28,16
2025-01-05,gujarat,gir somnath,181,53,26
2025-01-05,gujarat,jamnagar,410,77,67
2025-01-05,gujarat,kachchh,59,79,12
2025-01-05,gujarat,kheda,89,18,33
2025-01-05,gujarat,mahesana,178,26,13
2025-01-05,gujarat,morbi,389,88,46
2025-01-05,gujarat,navsari,122,21,15
2025-01-05,gujarat,panchmahals,311,83,61
2025-01-05,gujarat,patan,225,53,25
2025-01-05,gujarat,rajkot,1375,312,221
2025-01-05,gujarat,sabarkantha,90,41,11
2025-01-05,gujarat,surat,1396,542,48
2025-01-05,gujarat,the dangs,174,49,38
2025-01-05,gujarat,vadodara,158,78,10
2025-01-05,gujarat,valsad,277,101,20
2025-01-05,haryana,faridabad,1358,311,32
2025-01-05,haryana,gurgaon,512,143,13
2025-01-05,haryana,mewat,1169,147,11
2025-01-05,jammu and kashmir,baramula,136,39,12
2025-01-05,jammu and kashmir,jammu,55,16,10
2025-01-05,karnataka,bangalore rural,176,35,29
2025-01-05,karnataka,bengaluru,2659,1723,869
2025-01-05,kerala,kollam,34,12,10
2025-01-05,kerala,malappuram,135,121,10
2025-01-05,kerala,thiruvananthapuram,32,15,11
2025-01-05,madhya pradesh,alirajpur,66,42,25
2025-01-05,madhya pradesh,ashok nagar,161,40,19
2025-01-05,madhya pradesh,barwani,2114,1005,55
2025-01-05,madhya pradesh,bhind,670,238,48
2025-01-05,madhya pradesh,burhanpur,724,179,29
2025-01-05,madhya pradesh,chhatarpur,394,313,30
2025-01-05,madhya pradesh,dewas,518,87,17
2025-01-05,madhya pradesh,gwalior,338,108,18
2025-01-05,madhya pradesh,indore,519,111,18
2025-01-05,madhya pradesh,jhabua,308,316,10
2025-01-05,madhya pradesh,khandwa,47,21,10
2025-01-05,madhya pradesh,khargone,304,131,13
2025-01-05,madhya pradesh,morena,709,313,44
2025-01-05,madhya pradesh,panna,140,71,13
2025-01-05,madhya pradesh,vidisha,209,43,15
2025-01-05,maharashtra,beed,366,63,15
2025-01-05,maharashtra,dhule,118,46,18
2025-01-05,maharashtra,hingoli,246,31,34
2025-01-05,maharashtra,jalgaon,506,92,43
2025-01-05,maharashtra,mumbai suburban,882,457,230
2025-01-05,maharashtra,nagpur,243,28,22
2025-01-05,maharashtra,nanded,383,80,39
2025-01-05,maharashtra,nandurbar,251,134,21
2025-01-05,maharashtra,nashik,97,14,45
2025-01-05,maharashtra,palghar,162,155,14
2025-01-05,maharashtra,parbhani,425,90,32
2025-01-05,maharashtra,pune,328,97,61
2025-01-05,maharashtra,sangli,160,45,20
2025-01-05,maharashtra,satara,150,32,10
2025-01-05,maharashtra,solapur,473,97,51
2025-01-05,maharashtra,thane,1437,799,96
2025-01-05,maharashtra,washim,198,20,10
2025-01-05,maharashtra,yavatmal,281,72,30
2025-01-05,manipur,bishnupur,76,79,30
2025-01-05,manipur,imphal west,44,37,25
2025-01-05,meghalaya,east garo hills,180,448,267
2025-01-05,meghalaya,east jaintia hills,125,248,256
2025-01-05,meghalaya,east khasi hills,768,2259,1867
2025-01-05,meghalaya,north garo hills,65,168,91
2025-01-05,meghalaya,ri bhoi,243,733,633
2025-01-05,meghalaya,south garo hills,105,388,192
2025-01-05,meghalaya,south west garo hills,392,240,167
2025-01-05,meghalaya,south west khasi hills,135,192,200
2025-01-05,meghalaya,west garo hills,683,994,708
2025-01-05,meghalaya,west jaintia hills,558,909,734
2025-01-05,meghalaya,west khasi hills,406,1103,923
2025-01-05,mizoram,lawngtlai,280,62,29
2025-01-05,mizoram,lunglei,136,31,16
2025-01-05,mizoram,saiha,59,61,63
2025-01-05,nagaland,dimapur,155,207,22
2025-01-05,nagaland,peren,148,119,15
2025-01-05,punjab,amritsar,664,284,26
2025-01-05,punjab,gurdaspur,114,20,13
2025-01-05,punjab,hoshiarpur,197,48,18
2025-01-05,punjab,kapurthala,233,67,96
2025-01-05,punjab,ludhiana,876,458,49
2025-01-05,punjab,patiala,456,125,23
2025-01-05,rajasthan,alwar,610,179,10
2025-01-05,rajasthan,bikaner,421,164,20
2025-01-05,rajasthan,jaipur,120,70,10
2025-01-05,rajasthan,jodhpur,595,190,15
2025-01-05,rajasthan,sirohi,246,301,10
2025-01-05,tamil nadu,coimbatore,59,19,11
2025-01-05,tamil nadu,cuddalore,120,11,10
2025-01-05,tamil nadu,pudukkottai,143,34,13
2025-01-05,telangana,hyderabad,736,154,21
2025-01-05,uttar pradesh,agra,1550,967,60
2025-01-05,uttar pradesh,aligarh,1564,1159,103
2025-01-05,uttar pradesh,bahraich,1485,1891,193
2025-01-05,uttar pradesh,banda,730,804,70
2025-01-05,uttar pradesh,bareilly,1306,574,49
2025-01-05,uttar pradesh,bijnor,1351,432,39
2025-01-05,uttar pradesh,budaun,222,228,11
2025-01-05,uttar pradesh,chandauli,214,191,14
2025-01-05,uttar pradesh,deoria,384,503,20
2025-01-05,uttar pradesh,etah,1092,457,48
2025-01-05,uttar pradesh,fatehpur,274,224,11
2025-01-05,uttar pradesh,gautam buddha nagar,867,915,52
2025-01-05,uttar pradesh,ghaziabad,882,747,37
2025-01-05,uttar pradesh,gorakhpur,129,352,41
2025-01-05,uttar pradesh,hapur,681,450,11
2025-01-05,uttar pradesh,hathras,478,319,11
2025-01-05,uttar pradesh,kanpur nagar,835,854,57
2025-01-05,uttar pradesh,kheri,832,687,33
2025-01-05,uttar pradesh,kushinagar,170,229,10
2025-01-05,uttar pradesh,lalitpur,138,71,10
2025-01-05,uttar pradesh,lucknow,608,560,48
2025-01-05,uttar pradesh,maharajganj,500,791,40
2025-01-05,uttar pradesh,meerut,1663,1146,38
2025-01-05,uttar pradesh,moradabad,1673,793,79
2025-01-05,uttar pradesh,pilibhit,1367,640,21
2025-01-05,uttar pradesh,prayagraj,23,45,19
2025-01-05,uttar pradesh,rampur,1304,700,27
2025-01-05,uttar pradesh,shahjahanpur,1274,987,51
2025-01-05,uttar pradesh,shrawasti,279,445,28
2025-01-05,uttar pradesh,siddharthnagar,603,1073,47
2025-01-05,uttar pradesh,sitapur,802,540,31
2025-01-05,uttar pradesh,sultanpur,209,205,10
2025-01-05,uttar pradesh,unnao,865,726,37
2025-01-05,uttar pradesh,varanasi,574,849,23
2025-01-05,uttarakhand,dehradun,477,135,12
2025-01-05,west bengal,alipurduar,42,112,43
2025-01-05,west bengal,birbhum,204,61,13
2025-01-05,west bengal,cooch behar,991,606,77
2025-01-05,west bengal,dakshin dinajpur,179,42,14
2025-01-05,west bengal,darjeeling,297,223,78
2025-01-05,west bengal,jalpaiguri,493,413,74
2025-01-05,west bengal,kalimpong,12,39,27
2025-01-05,west bengal,kolkata,247,222,34
2025-01-05,west bengal,nadia,478,108,50
2025-01-05,west bengal,north 24 parganas,494,195,37
2025-01-05,west bengal,uttar dinajpur,2101,1479,97
2025-01-06,andhra pradesh,spsr nellore,742,405,201
2025-01-06,andhra pradesh,visakhapatanam,186,28,12
2025-01-06,assam,baksa,28,12,12
2025-01-06,assam,barpeta,699,376,104
2025-01-06,assam,bongaigaon,33,14,14
2025-01-06,assam,cachar,847,584,201
2025-01-06,assam,darrang,63,25,10
2025-01-06,assam,dhemaji,135,126,55
2025-01-06,assam,dhubri,323,198,24
2025-01-06,assam,dibrugarh,413,127,134
2025-01-06,assam,dima hasao,33,28,10
2025-01-06,assam,goalpara,17,43,20
2025-01-06,assam,golaghat,561,502,202
2025-01-06,assam,hojai,277,76,11
2025-01-06,assam,jorhat,24,19,13
2025-01-06,assam,kamrup,133,51,23
2025-01-06,assam,kamrup metro,55,54,65
2025-01-06,assam,karimganj,253,277,97
2025-01-06,assam,kokrajhar,155,115,17
2025-01-06,assam,lakhimpur,207,181,63
2025-01-06,assam,marigaon,412,250,118
2025-01-06,assam,nagaon,24,67,65
2025-01-06,assam,sivasagar,37,33,10
2025-01-06,assam,sonitpur,97,110,77
2025-01-06,assam,west karbi anglong,52,133,110
2025-01-06,bihar,araria,850,787,39
2025-01-06,bihar,banka,397,542,36
2025-01-06,bihar,bhagalpur,1407,2293,150
2025-01-06,bihar,darbhanga,255,183,10
2025-01-06,bihar,gaya,515,1341,37
2025-01-06,bihar,gopalganj,577,1145,51
2025-01-06,bihar,jamui,323,426,23
2025-01-06,bihar,kaimur (bhabua),165,536,10
2025-01-06,bihar,katihar,488,463,34
2025-01-06,bihar,lakhisarai,298,478,10
2025-01-06,bihar,madhubani,876,1379,170
2025-01-06,bihar,munger,117,279,10
2025-01-06,bihar,muzaffarpur,1562,2080,140
2025-01-06,bihar,nalanda,307,1153,37
2025-01-06,bihar,pashchim champaran,1969,4299,239
2025-01-06,bihar,patna,320,1009,38
2025-01-06,bihar,purbi champaran,1549,4314,335
2025-01-06,bihar,purnia,620,741,57
2025-01-06,bihar,saharsa,319,487,20
2025-01-06,bihar,saran,222,864,25
2025-01-06,bihar,sitamarhi,2839,3126,511
2025-01-06,bihar,siwan,185,298,21
2025-01-06,chhattisgarh,bijapur,205,254,173
2025-01-06,chhattisgarh,gaurella pendra marwahi,403,185,43
2025-01-06,delhi,central delhi,134,49,11
2025-01-06,delhi,east delhi,660,299,26
2025-01-06,delhi,new delhi,212,100,51
2025-01-06,delhi,north delhi,332,244,22
2025-01-06,delhi,north east delhi,998,569,10
2025-01-06,delhi,north west delhi,588,184,26
2025-01-06,delhi,south delhi,619,249,43
2025-01-06,delhi,south west delhi,202,90,29
2025-01-06,delhi,west delhi,1582,587,245
2025-01-06,gujarat,ahmadabad,685,480,60
2025-01-06,gujarat,anand,148,57,24
2025-01-06,gujarat,banas kantha,1459,1675,156
2025-01-06,gujarat,bhavnagar,189,39,11
2025-01-06,gujarat,botad,289,64,11
2025-01-06,gujarat,chhotaudepur,97,34,10
2025-01-06,gujarat,dang,222,72,70
2025-01-06,gujarat,dohad,1162,1835,191
2025-01-06,gujarat,gandhinagar,204,67,41
2025-01-06,gujarat,kachchh,73,49,11
2025-01-06,gujarat,mahisagar,106,37,18
2025-01-06,gujarat,morbi,777,366,26
2025-01-06,gujarat,patan,207,80,11
2025-01-06,gujarat,porbandar,209,57,11
2025-01-06,gujarat,rajkot,114,194,16
2025-01-06,gujarat,vadodara,334,139,37
2025-01-06,haryana,ambala,245,23,13
2025-01-06,haryana,faridabad,1698,483,83
2025-01-06,haryana,gurugram,534,207,81
2025-01-06,haryana,hisar,350,46,10
2025-01-06,haryana,kaithal,406,19,10
2025-01-06,haryana,kurukshetra,72,10,11
2025-01-06,haryana,nuh,1251,213,42
2025-01-06,haryana,panipat,776,87,14
2025-01-06,haryana,rohtak,420,56,52
2025-01-06,haryana,sonipat,360,46,23
2025-01-06,jharkhand,chatra,246,218,10
2025-01-06,jharkhand,dumka,74,110,14
2025-01-06,jharkhand,gumla,228,131,10
2025-01-06,jharkhand,khunti,91,148,11
2025-01-06,jharkhand,lohardaga,165,174,21
2025-01-06,jharkhand,pakur,501,590,16
2025-01-06,jharkhand,ranchi,259,273,34
2025-01-06,karnataka,bengaluru rural,511,312,311
2025-01-06,karnataka,bengaluru urban,5062,3223,1838
2025-01-06,karnataka,raichur,290,127,11
2025-01-06,kerala,ernakulam,70,58,11
2025-01-06,kerala,thrissur,15,22,10
2025-01-06,madhya pradesh,alirajpur,376,586,84
2025-01-06,madhya pradesh,ashoknagar,437,408,23
2025-01-06,madhya pradesh,barwani,1067,1106,60
2025-01-06,madhya pradesh,bhind,507,328,50
2025-01-06,madhya pradesh,bhopal,690,115,28
2025-01-06,madhya pradesh,burhanpur,1142,574,61
2025-01-06,madhya pradesh,chhatarpur,272,401,41
2025-01-06,madhya pradesh,dhar,892,570,65
2025-01-06,madhya pradesh,gwalior,1064,789,77
2025-01-06,madhya pradesh,indore,411,138,12
2025-01-06,madhya pradesh,jhabua,261,628,10
2025-01-06,madhya pradesh,katni,195,88,10
2025-01-06,madhya pradesh,khargone,242,258,26
2025-01-06,madhya pradesh,morena,1327,872,70
2025-01-06,madhya pradesh,sagar,131,53,17
2025-01-06,madhya pradesh,sheopur,368,430,11
2025-01-06,madhya pradesh,shivpuri,326,430,27
2025-01-06,maharashtra,amravati,280,77,11
2025-01-06,maharashtra,beed,659,294,46
2025-01-06,maharashtra,buldhana,306,51,11
2025-01-06,maharashtra,chandrapur,198,24,10
2025-01-06,maharashtra,dhule,793,484,211
